# Time-averaged data for fix at1
# TimeStep v_strain
6000 0.0911697
7000 0.271704
8000 0.452238
9000 0.632772
10000 0.813306
11000 0.99384
12000 1.17437
13000 1.35491
14000 1.53544
15000 1.71598
16000 1.89651
17000 2.07704
18000 2.25758
19000 2.43811
20000 2.61865
21000 2.79918
22000 2.97971
23000 3.16025
24000 3.34078
25000 3.52132
26000 3.70185
27000 3.88238
28000 4.06292
29000 4.24345
30000 4.42399
31000 4.60452
32000 4.78505
33000 4.96559
34000 5.14612
35000 5.32666
36000 5.50719
37000 5.68772
38000 5.86826
39000 6.04879
40000 6.22933
41000 6.40986
42000 6.59039
43000 6.77093
44000 6.95146
45000 7.132
46000 7.31253
47000 7.49306
48000 7.6736
49000 7.85413
50000 8.03467
51000 8.2152
52000 8.39573
53000 8.57627
54000 8.7568
55000 8.93734
56000 9.11787
57000 9.29841
58000 9.47894
59000 9.65947
60000 9.84001
61000 10.0205
62000 10.2011
63000 10.3816
64000 10.5621
65000 10.7427
66000 10.9232
67000 11.1037
68000 11.2843
69000 11.4648
70000 11.6453
71000 11.8259
72000 12.0064
73000 12.1869
74000 12.3675
75000 12.548
76000 12.7286
77000 12.9091
78000 13.0896
79000 13.2702
80000 13.4507
81000 13.6312
82000 13.8118
83000 13.9923
84000 14.1728
85000 14.3534
86000 14.5339
87000 14.7144
88000 14.895
89000 15.0755
90000 15.256
91000 15.4366
92000 15.6171
93000 15.7976
94000 15.9782
95000 16.1587
96000 16.3392
97000 16.5198
98000 16.7003
99000 16.8808
100000 17.0614
101000 17.2419
102000 17.4224
103000 17.603
104000 17.7835
105000 17.964
106000 18.1446
107000 18.3251
108000 18.5056
109000 18.6862
110000 18.8667
111000 19.0472
112000 19.2278
113000 19.4083
114000 19.5888
115000 19.7694
116000 19.9499
117000 20.1304
118000 20.311
119000 20.4915
120000 20.672
121000 20.8526
122000 21.0331
123000 21.2137
124000 21.3942
125000 21.5747
126000 21.7553
127000 21.9358
128000 22.1163
129000 22.2969
130000 22.4774
131000 22.6579
132000 22.8385
133000 23.019
134000 23.1995
135000 23.3801
136000 23.5606
137000 23.7411
138000 23.9217
139000 24.1022
140000 24.2827
141000 24.4633
142000 24.6438
143000 24.8243
144000 25.0049
145000 25.1854
146000 25.3659
147000 25.5465
148000 25.727
149000 25.9075
150000 26.0881
151000 26.2686
152000 26.4491
153000 26.6297
154000 26.8102
155000 26.9907
156000 27.1713
157000 27.3518
158000 27.5323
159000 27.7129
160000 27.8934
161000 28.0739
162000 28.2545
163000 28.435
164000 28.6155
165000 28.7961
166000 28.9766
167000 29.1571
168000 29.3377
169000 29.5182
170000 29.6988
171000 29.8793
172000 30.0598
173000 30.2404
174000 30.4209
175000 30.6014
176000 30.782
177000 30.9625
178000 31.143
179000 31.3236
180000 31.5041
181000 31.6846
182000 31.8652
183000 32.0457
184000 32.2262
185000 32.4068
186000 32.5873
187000 32.7678
188000 32.9484
189000 33.1289
190000 33.3094
191000 33.49
192000 33.6705
193000 33.851
194000 34.0316
195000 34.2121
196000 34.3926
197000 34.5732
198000 34.7537
199000 34.9342
200000 35.1148
201000 35.2953
202000 35.4758
203000 35.6564
204000 35.8369
205000 36.0174
