# Time-averaged data for fix myat3
# TimeStep v_mydensity
35900 0.0254474
36000 0.0255378
36100 0.0254568
36200 0.0252281
36300 0.025039
36400 0.0249226
36500 0.0248758
36600 0.0248492
36700 0.0248765
36800 0.0248371
36900 0.0247807
37000 0.0247892
37100 0.0248631
37200 0.0249144
37300 0.0248785
37400 0.0246963
37500 0.0244138
37600 0.0241737
37700 0.0239955
37800 0.0238784
37900 0.0238508
38000 0.0239638
38100 0.0241787
38200 0.0243941
38300 0.0244729
38400 0.0244561
38500 0.0244397
38600 0.0243586
38700 0.0241754
38800 0.0240162
38900 0.0239196
39000 0.0239112
39100 0.0239333
39200 0.0239022
39300 0.0238079
39400 0.0237665
39500 0.0237937
39600 0.0238529
39700 0.0239636
39800 0.0241427
39900 0.0243143
40000 0.0244065
40100 0.0245225
40200 0.0246328
40300 0.0247498
40400 0.0248714
40500 0.0250176
40600 0.025223
40700 0.0253152
40800 0.0252782
40900 0.0252236
41000 0.0252364
41100 0.0252908
41200 0.025344
41300 0.0253847
41400 0.0253276
41500 0.0252335
41600 0.0251131
41700 0.0249983
41800 0.0248742
41900 0.0247135
42000 0.0245084
42100 0.0243075
42200 0.0241926
42300 0.0240959
42400 0.0240865
42500 0.0241605
42600 0.0242564
42700 0.0243156
42800 0.0243442
42900 0.0243614
43000 0.0243924
43100 0.0244732
43200 0.0245085
43300 0.024452
43400 0.024369
43500 0.0243109
43600 0.0242738
43700 0.0242953
43800 0.0243902
43900 0.0244931
44000 0.0246007
44100 0.0246414
44200 0.0246633
44300 0.0247912
44400 0.0249178
44500 0.0249301
44600 0.0248925
44700 0.0248222
44800 0.0247326
44900 0.0247204
45000 0.0247488
45100 0.0247067
45200 0.0246227
45300 0.0245492
45400 0.0244672
45500 0.0244253
45600 0.0244878
45700 0.0245924
45800 0.024692
45900 0.0248052
46000 0.0249141
46100 0.0249877
46200 0.0249437
46300 0.0248648
46400 0.0248429
46500 0.0248941
46600 0.0249306
46700 0.0249925
46800 0.0250256
46900 0.024951
47000 0.0248612
47100 0.0247997
47200 0.0247528
47300 0.0247466
47400 0.0247722
47500 0.0247816
47600 0.0246912
47700 0.0246392
47800 0.0247308
47900 0.0249187
48000 0.0250713
48100 0.025108
48200 0.0250166
48300 0.0248075
48400 0.0245434
48500 0.0242651
48600 0.0240465
48700 0.0239451
48800 0.0239078
48900 0.0239275
49000 0.0241006
49100 0.0243218
49200 0.0245372
49300 0.0247068
49400 0.024808
49500 0.0248865
49600 0.0248267
49700 0.0247288
49800 0.0246604
49900 0.0246195
50000 0.0245426
