# Time-averaged data for fix myat1
# TimeStep v_Ntype1in v_Ntype1ou
2000 19.365 980.635
4000 33.24 966.76
6000 37.355 962.645
8000 46.965 953.035
10000 53.625 946.375
12000 58.135 941.865
14000 58.43 941.57
16000 60.485 939.515
18000 64.12 935.88
20000 55.18 944.82
22000 57.26 942.74
24000 67.365 932.635
26000 70.14 929.86
28000 72.09 927.91
30000 76.085 923.915
32000 85.915 914.085
34000 86.39 913.61
36000 87.745 912.255
38000 87.765 912.235
40000 90.53 909.47
42000 96.07 903.93
44000 97.995 902.005
46000 95.295 904.705
48000 102.615 897.385
50000 104.82 895.18
52000 105.785 894.215
54000 106.575 893.425
56000 112.16 887.84
58000 116.51 883.49
60000 125.29 874.71
62000 127.955 872.045
64000 131.775 868.225
66000 135.16 864.84
68000 141.86 858.14
70000 138.18 861.82
72000 138.105 861.895
74000 137.765 862.235
76000 144.115 855.885
78000 144.595 855.405
80000 150.12 849.88
82000 152.81 847.19
84000 149.895 850.105
86000 150.325 849.675
88000 144.71 855.29
90000 137.955 862.045
92000 146.92 853.08
94000 146.025 853.975
96000 157.405 842.595
98000 153.69 846.31
100000 157.39 842.61
102000 157.45 842.55
104000 156.19 843.81
106000 165.025 834.975
108000 163.855 836.145
110000 161.75 838.25
112000 164.385 835.615
114000 158.415 841.585
116000 154.49 845.51
118000 156.785 843.215
120000 157.835 842.165
122000 157.87 842.13
124000 163.47 836.53
126000 163.145 836.855
128000 163.125 836.875
130000 166.795 833.205
132000 169.885 830.115
134000 170.64 829.36
136000 167.815 832.185
138000 161.8 838.2
140000 163.51 836.49
142000 161.22 838.78
144000 161.58 838.42
146000 160.885 839.115
148000 156.185 843.815
150000 153.315 846.685
152000 151.17 848.83
154000 164.96 835.04
156000 168.405 831.595
158000 169.695 830.305
160000 171.635 828.365
162000 174.71 825.29
164000 175.505 824.495
166000 175.89 824.11
168000 176.88 823.12
170000 172.405 827.595
172000 169.1 830.9
174000 159.8 840.2
176000 169.38 830.62
178000 170.89 829.11
180000 175.11 824.89
182000 174.275 825.725
184000 174.47 825.53
186000 170.925 829.075
188000 168.585 831.415
190000 169.055 830.945
192000 162.965 837.035
194000 160.37 839.63
196000 167.165 832.835
198000 167.17 832.83
200000 169.57 830.43
202000 176.15 823.85
204000 171.045 828.955
206000 165.97 834.03
208000 165.955 834.045
210000 166.6 833.4
212000 167.43 832.57
214000 174.995 825.005
216000 174.035 825.965
218000 177.94 822.06
220000 172.225 827.775
222000 174.77 825.23
224000 173.86 826.14
226000 168.63 831.37
228000 165.475 834.525
230000 163.13 836.87
232000 172.7 827.3
234000 180.525 819.475
236000 188.32 811.68
238000 192.39 807.61
240000 187.92 812.08
242000 188.345 811.655
244000 178.115 821.885
246000 174.67 825.33
248000 182.435 817.565
250000 181.32 818.68
252000 183.45 816.55
254000 191.895 808.105
256000 192.765 807.235
258000 186.655 813.345
260000 193.66 806.34
262000 195.52 804.48
264000 198 802
266000 196.76 803.24
268000 195.825 804.175
270000 197.745 802.255
272000 203.165 796.835
274000 197.045 802.955
276000 190.49 809.51
278000 190.975 809.025
280000 190.74 809.26
282000 196.12 803.88
284000 191.725 808.275
286000 186.81 813.19
288000 188.09 811.91
290000 190.88 809.12
292000 191.305 808.695
294000 185.645 814.355
296000 179.89 820.11
298000 193.32 806.68
300000 193.585 806.415
