# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
8721300 -18.8954 -14.25
8721400 -18.8976 -14.25
8721500 -18.9472 -14.25
8721600 -19.0167 -14.25
8721700 -18.8939 -14.25
8721800 -18.7665 -14.25
8721900 -18.7357 -14.25
8722000 -18.7022 -14.25
8722100 -18.9129 -14.25
8722200 -18.8091 -14.25
8722300 -18.7552 -14.25
8722400 -18.8742 -14.25
8722500 -19.0304 -14.25
8722600 -19.1701 -14.25
8722700 -18.8674 -14.25
8722800 -18.7649 -14.25
8722900 -18.8666 -14.25
8723000 -19.1631 -14.25
8723100 -19.0496 -14.25
8723200 -18.731 -14.25
8723300 -18.6221 -14.25
8723400 -18.9501 -14.25
8723500 -18.9226 -14.25
8723600 -19.1143 -14.25
8723700 -19.0786 -14.25
8723800 -18.8651 -14.25
8723900 -18.8484 -14.25
8724000 -18.7699 -14.25
8724100 -18.8317 -14.25
8724200 -18.9275 -14.25
8724300 -18.6971 -14.25
8724400 -18.7776 -14.25
8724500 -18.8159 -14.25
8724600 -18.952 -14.25
8724700 -18.9632 -14.25
8724800 -18.7201 -14.25
8724900 -18.6621 -14.25
8725000 -18.979 -14.25
8725100 -18.9651 -14.25
8725200 -18.8933 -14.25
8725300 -18.6166 -14.25
8725400 -18.6779 -14.25
8725500 -19.0326 -14.25
8725600 -19.0151 -14.25
8725700 -18.8661 -14.25
8725800 -18.7512 -14.25
8725900 -18.68 -14.25
8726000 -18.6412 -14.25
8726100 -18.7746 -14.25
8726200 -18.888 -14.25
8726300 -19.0578 -14.25
8726400 -18.912 -14.25
8726500 -18.8534 -14.25
8726600 -18.9838 -14.25
8726700 -19.1312 -14.25
8726800 -19.091 -14.25
8726900 -18.8532 -14.25
8727000 -18.801 -14.25
8727100 -18.9083 -14.25
8727200 -18.941 -14.25
8727300 -18.6083 -14.25
8727400 -18.6599 -14.25
8727500 -19.0832 -14.25
8727600 -19.1338 -14.25
8727700 -18.7947 -14.25
8727800 -18.864 -14.25
8727900 -18.6565 -14.25
8728000 -18.5442 -14.25
8728100 -18.6714 -14.25
8728200 -18.938 -14.25
8728300 -19.0767 -14.25
8728400 -19.0573 -14.25
8728500 -18.7625 -14.25
8728600 -18.5947 -14.25
8728700 -18.4886 -14.25
8728800 -18.8153 -14.25
8728900 -18.9699 -14.25
8729000 -18.9147 -14.25
8729100 -18.9752 -14.25
8729200 -18.7396 -14.25
8729300 -18.5434 -14.25
8729400 -18.6851 -14.25
8729500 -19.0813 -14.25
8729600 -19.2365 -14.25
8729700 -18.8291 -14.25
8729800 -18.5549 -14.25
8729900 -18.6167 -14.25
8730000 -18.9788 -14.25
8730100 -19.194 -14.25
8730200 -18.9807 -14.25
8730300 -18.6102 -14.25
8730400 -18.5156 -14.25
8730500 -18.7301 -14.25
8730600 -19.1799 -14.25
8730700 -19.1092 -14.25
8730800 -18.7623 -14.25
8730900 -18.5588 -14.25
8731000 -18.4601 -14.25
8731100 -18.6958 -14.25
8731200 -19.0227 -14.25
8731300 -18.6515 -14.25
8731400 -18.7307 -14.25
8731500 -18.9622 -14.25
8731600 -19.1534 -14.25
8731700 -18.9025 -14.25
8731800 -18.6524 -14.25
8731900 -18.8258 -14.25
8732000 -18.9089 -14.25
8732100 -19.0274 -14.25
