# Time-averaged data for fix myat2
# TimeStep v_delta_r
22400 21.0063
22500 20.9356
22600 21.0312
22700 20.7384
22800 20.078
22900 20.4303
23000 21.6215
23100 22.6109
23200 23.1884
23300 24.0715
23400 24.7604
23500 25.5042
23600 25.3857
23700 25.1856
23800 25.5835
23900 25.5973
24000 25.6452
24100 25.0879
24200 24.6078
24300 24.5254
24400 24.356
24500 24.6058
24600 25.3643
24700 25.5289
24800 25.5307
24900 25.2007
25000 25.1223
25100 25.2479
25200 25.5413
25300 25.5271
25400 25.6337
25500 25.6315
25600 25.5797
25700 25.1665
25800 25.2549
25900 25.4191
26000 25.5188
26100 25.6474
26200 25.8816
26300 26.451
26400 26.9738
26500 27.0778
26600 27.1924
26700 27.552
26800 27.4924
26900 26.6981
27000 26.7041
27100 27.2444
27200 27.3335
27300 26.9463
27400 26.6886
27500 27.1104
27600 27.6349
27700 27.72
27800 27.9617
27900 28.2053
28000 28.08
28100 28.0907
28200 28.6188
28300 28.7734
28400 29.1161
28500 29.3437
28600 29.1772
28700 28.9943
28800 28.9372
28900 28.7034
29000 29.1533
29100 29.4312
29200 29.1413
29300 29.1005
29400 28.8119
29500 28.4127
29600 27.9434
29700 27.5622
29800 27.2522
29900 26.8916
30000 26.6328
30100 26.4321
30200 25.284
30300 23.9066
30400 22.2807
30500 21.2175
30600 19.9973
30700 18.6994
30800 18.1603
30900 18.321
31000 18.7437
31100 18.0851
31200 17.8127
31300 18.035
31400 17.8224
31500 17.5725
31600 16.4191
31700 15.7414
31800 15.8531
31900 16.9848
32000 18.5631
32100 19.7771
32200 20.6548
32300 21.6369
32400 22.1097
32500 22.6607
32600 23.7813
32700 25.1731
32800 26.4684
32900 27.2391
33000 28.0791
33100 29.134
33200 30.7988
33300 31.5631
33400 31.5586
33500 31.2979
33600 31.6726
33700 31.9035
33800 31.8538
33900 31.6186
34000 31.4948
34100 31.721
34200 32.1399
34300 32.5
34400 32.455
34500 32.4307
34600 32.6324
34700 32.9858
34800 33.3841
34900 33.5697
35000 33.4786
35100 33.3786
35200 33.355
35300 32.9083
35400 33.2335
35500 33.4619
35600 33.6469
35700 33.648
35800 33.978
35900 33.655
36000 33.1942
36100 32.9727
36200 33.4778
36300 33.6259
36400 33.2833
36500 33.2821
36600 33.1843
36700 33.2376
36800 33.3837
36900 33.8778
37000 33.8585
37100 33.8951
37200 33.9134
37300 33.6392
37400 33.5938
37500 33.7453
37600 33.5409
37700 33.6985
37800 33.7596
37900 33.6669
38000 33.7317
38100 33.9682
38200 33.8402
38300 33.8567
38400 33.6789
38500 33.6013
38600 33.4161
38700 33.8017
38800 34.1417
38900 34.2063
39000 33.7427
39100 33.7718
39200 34.1763
39300 34.4842
39400 34.2978
39500 33.7873
39600 33.6755
39700 34.1815
39800 34.015
39900 33.3014
40000 33.344
40100 33.5599
40200 33.6143
40300 33.5136
40400 33.5656
40500 33.7449
40600 33.6158
40700 33.7482
40800 33.7545
40900 34.0265
41000 34.0598
41100 34.1431
41200 33.9559
41300 33.6335
41400 33.7564
41500 34.0443
41600 34.1157
41700 34.105
41800 33.8676
41900 33.8653
42000 33.643
42100 33.4801
42200 33.7022
42300 33.8579
42400 33.6418
42500 33.5343
42600 33.8749
42700 34.1374
42800 33.4178
42900 32.8681
43000 33.2457
43100 33.738
43200 34.1857
43300 33.364
43400 32.8786
43500 32.9713
43600 33.3025
43700 33.715
43800 33.6139
43900 34.1898
44000 33.8012
44100 33.7844
44200 33.4571
44300 33.6974
44400 34.0326
44500 33.9581
44600 33.6653
44700 33.6979
44800 33.5598
44900 33.7648
45000 33.8892
45100 33.9317
45200 33.7461
45300 33.2271
45400 33.416
45500 33.7508
45600 33.6197
45700 33.9867
45800 34.0185
45900 34.0806
46000 33.7764
46100 33.6738
46200 33.6898
46300 34.0951
46400 34.0126
46500 33.8679
46600 33.8608
46700 34.0405
46800 33.9607
46900 33.9215
47000 33.7589
47100 33.6872
47200 33.7592
47300 33.7563
47400 33.8754
47500 34.1909
47600 33.8824
47700 33.8053
47800 33.797
47900 33.8968
48000 33.9212
48100 33.8578
48200 33.8454
48300 33.9495
48400 33.8356
48500 33.8385
48600 33.9004
48700 34.2624
48800 34.0924
48900 33.7328
49000 33.2457
49100 33.0704
49200 33.263
49300 33.6101
49400 33.1068
49500 32.7035
49600 32.9241
49700 33.193
49800 33.0912
49900 32.9415
50000 33.3733
50100 33.3782
50200 33.4966
50300 33.4612
50400 33.1602
50500 33.261
50600 33.3527
50700 33.6181
50800 33.4774
50900 33.2422
51000 33.4777
51100 33.8689
51200 33.9553
51300 34.0631
51400 33.6986
51500 33.498
51600 32.6969
51700 32.7442
51800 33.181
51900 33.4352
52000 33.8409
52100 33.5764
52200 33.6877
52300 33.2962
52400 33.006
52500 33.473
52600 33.5216
52700 33.6954
52800 33.8589
52900 33.6682
53000 33.5025
53100 33.0623
53200 32.8726
53300 33.0461
53400 33.5627
53500 33.2622
53600 32.9361
53700 33.1511
53800 33.2008
53900 33.3223
54000 33.4514
54100 33.9436
54200 33.9156
54300 34.0363
54400 33.8799
54500 33.8327
54600 33.8581
54700 33.6497
54800 33.9916
54900 33.939
55000 33.6902
55100 33.6293
55200 33.7318
55300 33.5834
55400 33.454
55500 33.3424
55600 33.3249
55700 33.469
55800 33.6174
55900 33.513
56000 33.5032
56100 33.6309
56200 33.8025
56300 33.4694
56400 32.9943
56500 32.818
56600 32.9764
56700 32.8396
56800 33.0374
56900 33.1499
57000 33.4193
57100 33.1549
57200 33.0331
57300 32.9271
57400 33.0776
57500 33.5659
57600 33.6527
57700 33.7412
57800 33.6983
57900 33.589
58000 33.375
58100 33.3102
58200 33.4134
58300 33.2435
58400 33.2
58500 33.1439
58600 32.726
58700 32.445
58800 32.5142
58900 32.447
59000 32.5772
59100 32.5305
59200 32.7309
59300 32.5837
59400 32.6212
59500 32.6425
59600 32.4512
59700 32.2774
59800 32.4935
59900 33.0436
60000 33.4751
