# Time-averaged data for fix myat2
# TimeStep v_delta_r
100 16.9575
200 16.7432
300 16.6058
400 16.6386
500 16.6384
600 16.8494
700 16.7983
800 16.1408
900 15.4662
1000 15.739
1100 16.5743
1200 17.2557
1300 17.97
1400 18.3148
1500 18.0598
1600 17.9819
1700 18.6004
1800 19.0231
1900 19.1741
2000 19.5256
2100 19.4379
2200 19.4012
2300 19.1905
2400 18.9907
2500 18.3953
2600 18.2056
2700 18.706
2800 18.7768
2900 18.6026
3000 19.2894
3100 19.8458
3200 20.2514
3300 20.8584
3400 21.3301
3500 21.6467
3600 21.4818
3700 20.9996
3800 21.1029
3900 21.3961
4000 21.247
4100 21.1382
4200 21.241
4300 21.4064
4400 21.0386
4500 20.7185
4600 21.0056
4700 21.5686
4800 22.0853
4900 22.2682
5000 22.3152
5100 22.5246
5200 22.8122
5300 22.6819
5400 22.3522
5500 21.5763
5600 20.7657
5700 20.493
5800 20.5817
5900 20.6647
6000 20.389
6100 19.7709
6200 19.0746
6300 19.0377
6400 19.0637
6500 18.4953
6600 18.1849
6700 18.3223
6800 18.5612
6900 18.4306
7000 17.6008
7100 17.2347
7200 17.7344
7300 18.1207
7400 18.6233
7500 18.9111
7600 18.3931
7700 18.7663
7800 18.9227
7900 18.9427
8000 19.2376
8100 19.5039
8200 19.8974
8300 20.0401
8400 19.4936
8500 18.5422
8600 17.8733
8700 18.2028
8800 18.6834
8900 18.9123
9000 18.8264
9100 18.2922
9200 17.9728
9300 18.0569
9400 18.6803
9500 19.0368
9600 19.3572
9700 19.7061
9800 19.6421
9900 19.2108
10000 19.0342
10100 19.032
10200 19.1015
10300 20.1189
10400 21.9813
10500 23.6071
10600 23.5876
10700 24.5032
10800 24.7523
10900 25.0816
11000 26.207
11100 26.7138
11200 26.7086
11300 27.0301
11400 27.788
11500 28.5462
11600 28.9762
11700 29.8785
11800 30.5181
11900 30.7528
12000 31.8594
12100 32.2221
12200 32.2217
12300 32.5374
12400 32.5839
12500 32.6852
12600 32.8779
12700 32.8571
12800 32.9556
12900 32.712
13000 32.632
13100 32.9012
13200 33.2722
13300 33.3484
13400 33.3488
13500 33.2439
13600 33.38
13700 33.1736
13800 33.4191
13900 33.7347
14000 34.0132
14100 33.5726
14200 33.3637
14300 32.8103
14400 33.1409
14500 33.476
14600 33.6188
14700 33.3629
14800 32.9412
14900 32.9724
15000 33.4225
15100 33.4396
15200 33.2952
15300 33.0596
15400 33.0679
15500 32.8186
15600 33.0403
15700 33.9505
15800 34.3617
15900 34.23
16000 33.6124
16100 33.6457
16200 33.9032
16300 33.7531
16400 33.6785
16500 33.7115
16600 33.511
16700 33.6261
16800 33.5558
16900 33.7821
17000 34.0291
17100 33.6043
17200 33.3434
17300 33.3346
17400 33.8747
17500 34.1912
17600 34.0368
17700 33.975
17800 33.8778
17900 33.8734
18000 33.5711
18100 33.5561
18200 33.714
18300 34.0246
18400 33.9789
18500 33.7213
18600 33.4188
18700 33.6719
18800 33.9901
18900 34.1149
19000 33.4976
19100 32.9865
19200 33.1866
19300 33.3016
19400 33.3069
19500 34.0185
19600 33.5047
19700 33.0279
19800 33.2375
19900 33.7344
20000 33.773
