# Time-averaged data for fix myat1
# TimeStep v_vcm_fluid
1000 0.000388645
2000 3.64837e-05
3000 3.00966e-06
4000 0.000261682
5000 4.05943e-05
6000 0.000177632
7000 0.000204345
8000 -5.28618e-05
9000 -1.57416e-05
10000 0.000222473
11000 0.000147403
12000 -5.96406e-06
13000 8.40418e-05
14000 0.000189746
15000 8.46932e-05
16000 0.000178127
17000 -1.18504e-06
18000 0.000213233
19000 6.11341e-05
20000 0.000112566
21000 1.50099e-05
22000 0.00013975
23000 -0.000160684
24000 0.000128685
25000 3.1814e-05
26000 2.41622e-05
27000 -2.72487e-05
28000 0.000142529
29000 4.12634e-06
30000 -0.000193716
31000 0.00024191
32000 3.26929e-05
33000 2.03047e-05
34000 -2.51475e-06
35000 2.06138e-05
36000 0.000189146
37000 -4.3137e-06
38000 -3.11617e-05
39000 0.000237628
40000 0.000122804
41000 0.000138955
42000 0.000264457
43000 -0.000128781
44000 0.000263826
45000 0.000152378
46000 0.00016106
47000 0.000152374
48000 -2.31737e-05
49000 0.000103919
50000 9.65447e-06
51000 -2.90184e-05
52000 0.000128411
53000 -3.25557e-06
54000 0.000215669
55000 0.000110009
56000 0.000170083
57000 0.000107443
58000 6.04636e-05
59000 0.000175393
60000 -9.1135e-05
61000 0.00015862
62000 2.09805e-05
63000 4.92169e-05
64000 0.000111455
65000 -0.000108759
66000 0.000189235
67000 7.63675e-05
68000 2.33522e-05
69000 0.000221005
70000 -4.52813e-05
71000 0.000186915
72000 4.394e-05
73000 0.000196419
74000 0.000114413
75000 -3.08892e-05
76000 -5.12461e-05
77000 7.96706e-05
78000 0.000129389
79000 6.82399e-05
80000 -1.69179e-05
81000 0.000163089
82000 2.53066e-05
83000 0.000115756
84000 0.000122632
85000 -8.5742e-05
86000 0.000168764
87000 0.000193869
88000 -2.30771e-05
89000 0.000196203
90000 5.73433e-05
91000 -5.88609e-05
92000 0.000352229
93000 9.97003e-05
94000 0.000163531
95000 0.000176989
96000 1.62382e-06
97000 0.000179671
98000 0.00020907
99000 -9.22937e-05
100000 0.000213407
101000 0.000186401
102000 0.000109058
103000 6.86304e-05
104000 0.000172813
105000 0.000190609
106000 0.000208525
107000 3.60763e-05
108000 0.000205633
109000 1.52183e-05
110000 0.000213496
111000 -0.000135672
112000 0.000210896
113000 0.000154238
114000 -2.93439e-05
115000 0.000155568
116000 -8.46503e-05
117000 0.00014227
118000 -5.39025e-05
119000 4.91585e-06
120000 0.000383615
121000 1.83287e-05
122000 0.000141437
123000 -0.000105497
124000 0.000160444
125000 0.00026569
126000 5.84449e-05
127000 2.43451e-05
128000 -6.4787e-06
129000 0.000193145
130000 -3.58533e-05
131000 0.000168698
132000 -2.78151e-05
133000 0.000161059
134000 -7.00668e-06
135000 5.96614e-05
136000 0.000196941
137000 4.12924e-05
138000 0.000124038
139000 -6.0843e-05
140000 0.000109418
141000 -7.76629e-05
142000 0.000231681
143000 9.87415e-05
144000 7.93646e-05
145000 7.85325e-05
146000 8.7796e-05
147000 9.32045e-05
148000 4.08749e-05
149000 0.000155921
150000 -8.07258e-05
151000 0.000108049
152000 8.34284e-05
153000 4.32333e-05
154000 -5.30374e-05
155000 7.81327e-05
156000 -8.82827e-05
157000 0.000221066
158000 -7.76276e-05
159000 4.74834e-05
160000 0.000145905
161000 0.000238303
162000 0.000168161
163000 -4.80684e-05
164000 7.21547e-05
165000 3.60714e-05
166000 0.000198022
167000 0.000191192
168000 8.18904e-05
169000 -4.12894e-06
170000 8.20283e-05
171000 -2.56876e-05
172000 0.000224419
173000 2.02659e-05
174000 7.77243e-05
175000 0.000226601
176000 7.75299e-05
177000 2.96387e-05
178000 0.000107494
179000 0.000111181
180000 -6.23284e-05
181000 8.54989e-05
182000 4.81211e-05
183000 1.04369e-05
184000 7.97713e-05
185000 0.000110996
186000 0.000199538
187000 0.00010565
188000 9.77232e-05
189000 -2.35217e-05
190000 0.000187315
191000 9.17364e-05
192000 -1.00208e-05
193000 0.000189512
194000 -2.48934e-06
195000 9.10834e-05
196000 0.000314658
197000 -0.000195768
198000 0.00013559
199000 -1.84877e-05
200000 5.31408e-05
