#  Timestep    No_Moles    No_Specs   Si192O384         OH2
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        405          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        410          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        415          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        420          21           2           1          20
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        425          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        430          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        435          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        440          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        445          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        450          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        455          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        460          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        465          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        470          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        475          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        480          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        485          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        490          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        495          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        500          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        505          20           2           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        510          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        515          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        520          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        525          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        530          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        535          21           3           1           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        540          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        545          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        550          20           2           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        555          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        560          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        565          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        570          21           3           1           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        575          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        580          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        585          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        590          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        595          20           2           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        600          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        605          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        610          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        615          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        620          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        625          21           3           1           1          19
#  Timestep    No_Moles    No_Specs  Si192O384H          OH         OH2
        630          21           3           1           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        635          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        640          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        645          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        650          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        655          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        660          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        665          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        670          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        675          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        680          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        685          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        690          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        695          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        700          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        705          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        710          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        715          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        720          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        725          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        730          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        735          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        740          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        745          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        750          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        755          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        760          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        765          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        770          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        775          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        780          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O2H4         OH2
        785          19           2           1          18
#  Timestep    No_Moles    No_Specs Si192O384O3H6         OH2
        790          18           2           1          17
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        795          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        800          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        805          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
        810          19           3           1          17           1
#  Timestep    No_Moles    No_Specs Si192O384O2H5         OH2          OH
