# Time-averaged data for fix myat2
# TimeStep v_Ntype2in v_Ntype2ou
2000 135.295 13.705
4000 125.62 23.38
6000 117.34 31.66
8000 110.12 38.88
10000 104.825 44.175
12000 99.385 49.615
14000 97.425 51.575
16000 96.705 52.295
18000 93.945 55.055
20000 93.03 55.97
22000 89.945 59.055
24000 87.87 61.13
26000 91.015 57.985
28000 89.325 59.675
30000 84.075 64.925
32000 81.405 67.595
34000 78.56 70.44
36000 74.2 74.8
38000 74.055 74.945
40000 70.915 78.085
42000 69.845 79.155
44000 70.34 78.66
46000 69.57 79.43
48000 67.84 81.16
50000 66.42 82.58
52000 64.015 84.985
54000 64.025 84.975
56000 62.455 86.545
58000 61.505 87.495
60000 61.21 87.79
62000 59.485 89.515
64000 60.3 88.7
66000 57.91 91.09
68000 59.03 89.97
70000 57.775 91.225
72000 59.135 89.865
74000 60.12 88.88
76000 57.14 91.86
78000 54.67 94.33
80000 56.63 92.37
82000 54.935 94.065
84000 54.25 94.75
86000 55 94
88000 53.65 95.35
90000 53.055 95.945
92000 52.645 96.355
94000 52.985 96.015
96000 54.505 94.495
98000 54.42 94.58
100000 50.895 98.105
102000 47.95 101.05
104000 47.195 101.805
106000 47.8 101.2
108000 45.81 103.19
110000 43.79 105.21
112000 43.62 105.38
114000 46.425 102.575
116000 46.13 102.87
118000 45.68 103.32
120000 48.095 100.905
122000 48.66 100.34
124000 48.65 100.35
126000 44.69 104.31
128000 46.125 102.875
130000 47.57 101.43
132000 46.445 102.555
134000 43.085 105.915
136000 40.24 108.76
138000 40.635 108.365
140000 37.69 111.31
142000 36.605 112.395
144000 35.07 113.93
146000 37.395 111.605
148000 36.395 112.605
150000 38.665 110.335
152000 37.665 111.335
154000 36.405 112.595
156000 36.905 112.095
158000 34.84 114.16
160000 33.8 115.2
162000 34.21 114.79
164000 36.19 112.81
166000 36.08 112.92
168000 35.635 113.365
170000 36.19 112.81
172000 37.63 111.37
174000 34.715 114.285
176000 33.045 115.955
178000 35.495 113.505
180000 36.705 112.295
182000 35.385 113.615
184000 39.055 109.945
186000 40.365 108.635
188000 37.73 111.27
190000 37.66 111.34
192000 36.38 112.62
194000 35.68 113.32
196000 38.475 110.525
198000 37.42 111.58
200000 38.09 110.91
202000 37.975 111.025
204000 38.515 110.485
206000 39.49 109.51
208000 39.35 109.65
210000 39.34 109.66
212000 37.515 111.485
214000 34.775 114.225
216000 34.15 114.85
218000 35.76 113.24
220000 32.265 116.735
222000 28.135 120.865
224000 29.31 119.69
226000 30.57 118.43
228000 28.275 120.725
230000 28.65 120.35
232000 28.805 120.195
234000 27.55 121.45
236000 28.525 120.475
238000 26.065 122.935
240000 27.71 121.29
242000 29.94 119.06
244000 31.335 117.665
246000 32.635 116.365
248000 29.255 119.745
250000 30.095 118.905
252000 34.005 114.995
254000 29.335 119.665
256000 25.345 123.655
258000 25.52 123.48
260000 24.985 124.015
262000 26.125 122.875
264000 27.095 121.905
266000 28.035 120.965
268000 29.845 119.155
270000 29.785 119.215
272000 28.915 120.085
274000 29.55 119.45
276000 30.635 118.365
278000 28.37 120.63
280000 28.4 120.6
282000 29.59 119.41
284000 28.46 120.54
286000 28.115 120.885
288000 25.62 123.38
290000 26.18 122.82
292000 27.695 121.305
294000 28.835 120.165
296000 31.23 117.77
298000 31.975 117.025
300000 31.395 117.605
