# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
3720 1.48978 -0.236046
3730 1.47136 -0.225262
3740 1.48276 -0.227556
3750 1.47403 -0.237065
3760 1.49639 -0.234956
3770 1.50231 -0.227467
3780 1.55392 -0.239182
3790 1.54189 -0.24091
3800 1.49622 -0.228073
3810 1.48951 -0.232343
3820 1.51984 -0.235536
3830 1.5029 -0.241702
3840 1.51861 -0.243461
3850 1.50329 -0.227395
3860 1.51095 -0.234913
3870 1.5627 -0.231148
3880 1.53155 -0.224755
3890 1.49968 -0.233515
3900 1.49038 -0.238864
3910 1.45312 -0.238974
3920 1.47931 -0.236766
3930 1.48909 -0.242466
3940 1.4654 -0.23794
3950 1.47306 -0.238494
3960 1.47625 -0.239666
3970 1.46903 -0.242348
3980 1.47378 -0.23837
3990 1.48403 -0.245515
4000 1.52854 -0.247693
4010 1.51786 -0.248725
4020 1.48565 -0.246256
4030 1.49721 -0.249759
4040 1.4306 -0.245025
4050 1.51198 -0.243398
4060 1.48229 -0.240107
4070 1.52923 -0.23822
4080 1.48785 -0.233115
4090 1.49994 -0.234364
4100 1.53307 -0.230899
4110 1.53012 -0.234728
4120 1.49066 -0.237128
4130 1.50887 -0.238826
4140 1.49999 -0.232881
4150 1.49255 -0.233655
4160 1.51823 -0.238198
4170 1.51611 -0.232031
4180 1.51769 -0.227668
4190 1.51052 -0.223733
4200 1.57307 -0.227734
4210 1.48222 -0.229147
4220 1.51942 -0.215837
4230 1.50822 -0.227831
4240 1.51621 -0.227827
4250 1.50815 -0.234741
4260 1.52363 -0.228823
4270 1.51021 -0.232856
4280 1.56317 -0.228338
4290 1.53858 -0.226525
4300 1.47582 -0.226298
4310 1.453 -0.227428
4320 1.47959 -0.22779
4330 1.46809 -0.229885
4340 1.45632 -0.21849
4350 1.51196 -0.232374
4360 1.52737 -0.236961
4370 1.54982 -0.237679
4380 1.53103 -0.235206
