# Time-averaged data for fix myat2
# TimeStep v_number_type2_in
2000 135.295
4000 125.62
6000 117.34
8000 110.12
10000 104.825
12000 99.385
14000 97.425
16000 96.705
18000 93.945
20000 93.03
22000 89.945
24000 87.87
26000 91.015
28000 89.325
30000 84.075
32000 81.405
34000 78.555
36000 75.89
38000 72.1
40000 69.235
42000 71.82
44000 71.3
46000 72.33
48000 68.91
50000 67.715
52000 67.21
54000 66.725
56000 63.68
58000 60.675
60000 60.545
62000 64.41
64000 61.565
66000 59.39
68000 59.605
70000 57.58
72000 56.45
74000 58.3
76000 53.15
78000 52.055
80000 50.085
82000 50.08
84000 49.75
86000 51.96
88000 54.715
90000 52.645
92000 53.245
94000 50.885
96000 49.425
98000 48.035
100000 49.82
102000 51.39
104000 50.185
106000 46.595
108000 47.255
110000 41.795
112000 43.97
114000 41.24
116000 39.615
118000 38.96
120000 35.195
122000 35.31
124000 35.425
126000 37.625
128000 39.615
130000 38.995
132000 42.385
134000 41.825
136000 41.845
138000 40.925
140000 42.565
142000 39.11
144000 41.06
146000 38.39
148000 39.345
150000 38.23
152000 35.255
154000 34.57
156000 37.49
158000 37.03
160000 38.8
162000 39.42
164000 39.92
166000 39.895
168000 36.705
170000 36.265
172000 37.41
174000 36.12
176000 34.97
178000 33.66
180000 36.59
182000 38.08
184000 38.78
186000 42.625
188000 37.405
190000 35.605
192000 35.575
194000 32.565
196000 29.92
198000 27.825
200000 31.87
202000 31.27
204000 28.85
206000 29.88
208000 28.47
210000 29.5
212000 29.275
214000 28.63
216000 30.21
218000 31.04
220000 32.695
222000 34.94
224000 34.415
226000 34.6
228000 35.21
230000 36.795
232000 34.275
234000 32.18
236000 32.245
238000 31.02
240000 30.125
242000 28.795
244000 30.09
246000 30.375
248000 25.835
250000 26.83
252000 28.075
254000 28.445
256000 27.845
258000 28.725
260000 24.5
262000 27.605
264000 27.21
266000 27.385
268000 24.66
270000 25.29
272000 25.015
274000 25.84
276000 25.785
278000 27.065
280000 28.745
282000 27.035
284000 31.93
286000 33.16
288000 33
290000 30.9
292000 29.86
294000 29.045
296000 27.37
298000 29.04
300000 28.135
