# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
22500 1.78116 -0.720286
22600 -0.422183 -3.16541e-05
22700 -0.554403 0.905063
22800 0.105783 -1.72412
22900 1.3651 0.454189
23000 0.449526 0.601783
23100 1.24286 -0.334623
23200 0.18573 -0.414418
23300 -0.744669 -0.918529
23400 -2.41675 -0.625743
23500 -0.328788 1.51954
23600 1.71692 1.21732
23700 1.2084 -0.0673339
23800 1.50775 0.479869
23900 -1.61267 -0.32628
24000 -0.692137 0.400528
24100 0.750289 0.376281
24200 0.104246 -0.631658
24300 0.18846 0.0558724
24400 0.62916 -1.89776
24500 -0.651033 -0.975708
24600 0.672718 0.89405
24700 1.66188 0.699314
24800 0.550326 0.0136434
24900 -0.0119279 -0.303201
25000 -2.63953 0.613933
25100 -0.368797 -2.29196
25200 0.27234 -0.432322
25300 0.606469 0.389288
25400 -0.427749 1.00807
25500 -1.62158 0.379904
25600 -1.49185 -0.10987
25700 2.69359 -1.32822
25800 1.57976 0.82191
25900 -0.566214 0.354847
26000 0.909058 -0.907568
26100 -0.276974 -1.51582
26200 -1.99475 -1.80194
26300 0.449918 -0.188159
26400 0.66799 1.88836
26500 -0.412868 0.234952
26600 3.01961 1.21682
26700 0.162015 0.109363
26800 -2.34088 -0.674228
26900 0.4228 0.457067
27000 -0.120019 1.25872
27100 -0.364401 0.151463
27200 0.0624246 -0.344406
27300 0.167396 -1.9592
27400 0.783499 -0.555429
27500 1.49545 0.263123
27600 -0.192911 1.05554
27700 1.63725 0.414173
27800 -0.469835 -0.222571
27900 1.03558 -1.39453
28000 -0.967346 -0.178712
28100 -1.56726 -0.325147
28200 0.545612 0.0790611
28300 -0.708164 -0.359601
28400 -1.72592 0.577327
28500 0.32163 0.308496
28600 -0.00648101 -0.542686
28700 1.31138 0.671138
28800 2.24014 -0.0417328
28900 -0.22211 0.064281
29000 -2.33372 -1.19287
29100 -0.431795 -2.35291
29200 -0.506545 -0.250595
29300 1.51347 1.0806
29400 1.39356 -0.42183
29500 -0.257311 -0.28934
29600 -0.292002 -0.766924
29700 1.06927 1.36532
29800 1.07829 1.77624
29900 -1.48104 0.0183047
30000 -0.153812 1.39494
30100 -0.79602 -0.541147
30200 -0.843201 -3.43025
30300 0.284704 -0.244711
30400 1.98314 1.98063
30500 1.04618 1.4431
30600 0.288106 1.07483
30700 -0.0178898 -2.34326
30800 0.0501903 -1.33789
30900 0.627023 0.492635
31000 1.88892 -0.764467
31100 -0.148725 -0.654071
31200 -2.07946 -0.889781
31300 -1.14217 1.30367
31400 -1.68908 0.220467
31500 0.983987 1.34087
31600 1.54883 0.886086
31700 0.561699 -1.84309
31800 0.226703 -1.15051
31900 -1.03638 0.407892
32000 -1.72951 0.161779
32100 0.53049 -0.246419
32200 0.541972 -0.735559
32300 0.365306 -1.29532
32400 1.24785 -2.31768
