# Time-averaged data for fix myat3
# TimeStep v_mypot
309000 -5181.8
310000 -5182.12
311000 -5181.89
312000 -5181.82
313000 -5181.67
314000 -5182.1
315000 -5181.69
316000 -5181.99
317000 -5182.2
318000 -5182.55
319000 -5182.36
320000 -5182.27
321000 -5181.87
322000 -5182.04
323000 -5182.16
324000 -5182.24
325000 -5182.59
326000 -5182.34
327000 -5182.07
328000 -5182.62
329000 -5182.14
330000 -5182.21
331000 -5182.64
332000 -5182.14
333000 -5181.95
334000 -5181.97
335000 -5182.14
336000 -5182.06
337000 -5181.87
338000 -5182.4
339000 -5182.44
340000 -5182.58
341000 -5182.26
342000 -5182.55
343000 -5182.18
344000 -5181.68
345000 -5182.07
346000 -5181.79
347000 -5182.17
348000 -5181.83
349000 -5182.06
350000 -5182.42
