# Time-averaged data for fix myat
# TimeStep v_n_center
50000 1.254
100000 0.048
150000 0.036
200000 0.502
250000 0.384
300000 0.076
350000 0.004
400000 0.054
450000 0.03
500000 0.028
550000 0.038
600000 0.05
650000 0.742
700000 0.502
750000 0.012
800000 0.012
850000 0.142
900000 0.016
950000 0.1
1000000 0.014
1050000 0.028
1100000 0.056
1150000 0.02
1200000 0.06
1250000 0.048
1300000 0.372
1350000 0.126
1400000 0.07
1450000 0.084
1500000 0.128
1550000 0.058
1600000 0.67
1650000 0.092
1700000 0.036
1750000 0.3
1800000 0.014
1850000 0.038
1900000 0.018
1950000 0.244
2000000 0.028
