#  Timestep    No_Moles    No_Specs   Si192O384           H
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1755           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1760           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1765           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1770           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1775           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1780           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1785           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1790           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1795           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1800           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1805           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1810           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1815           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1820           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1825           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1830           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1835           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1840           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1845           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1850           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1855           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1860           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1865           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1870           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1875           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1880           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       1885           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       1890           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       1895           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       1900           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1905           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1910           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1915           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1920           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1925           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1930           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1935           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1940           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1945           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1950           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       1955           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       1960           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       1965           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1970           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1975           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1980           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1985           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1990           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       1995           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       2000           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       2005           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       2010           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       2015           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       2020           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       2025           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       2030           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2035           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2040           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2045           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2050           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2055           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2060           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2065           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2070           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2075           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2080           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H8           H
       2085           3           2           1           2
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2090           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2095           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2100           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2105           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2110           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2115           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2120           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2125           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2130           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2135           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2140           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2145           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2150           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2155           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2160           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2165           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2170           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2175           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2180           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2185           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2190           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2195           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H9           H
       2200           2           2           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2205           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2210           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2215           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2220           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2225           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2230           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2235           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2240           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2245           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2250           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2255           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2260           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2265           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2270           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2275           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2280           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2285           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2290           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2295           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2300           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2305           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2310           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2315           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2320           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2325           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2330           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2335           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2340           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2345           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2350           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2355           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2360           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2365           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2370           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2375           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2380           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2385           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2390           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2395           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2400           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2405           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2410           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2415           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2420           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2425           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2430           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2435           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2440           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2445           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2450           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2455           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2460           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2465           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2470           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2475           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2480           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2485           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2490           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2495           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2500           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2505           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2510           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2515           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2520           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2525           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2530           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2535           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2540           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2545           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2550           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2555           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2560           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2565           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2570           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2575           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2580           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2585           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2590           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2595           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2600           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2605           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2610           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2615           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2620           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2625           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2630           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2635           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2640           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2645           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2650           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2655           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2660           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2665           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2670           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2675           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2680           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2685           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2690           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2695           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2700           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2705           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2710           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2715           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2720           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2725           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2730           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2735           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2740           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2745           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2750           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2755           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2760           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2765           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2770           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2775           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2780           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2785           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2790           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2795           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2800           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2805           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2810           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2815           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2820           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2825           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2830           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2835           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2840           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2845           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2850           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2855           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2860           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2865           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2870           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2875           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2880           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2885           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2890           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2895           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2900           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2905           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2910           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2915           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2920           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2925           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2930           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2935           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2940           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2945           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2950           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2955           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2960           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2965           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2970           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2975           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2980           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2985           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2990           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       2995           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3000           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3005           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3010           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3015           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3020           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3025           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3030           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3035           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3040           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3045           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3050           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3055           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3060           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3065           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3070           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3075           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3080           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3085           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3090           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3095           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3100           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3105           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3110           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3115           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3120           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3125           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3130           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3135           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3140           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3145           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3150           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3155           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3160           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3165           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3170           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3175           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3180           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3185           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3190           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3195           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3200           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3205           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3210           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3215           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3220           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3225           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3230           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3235           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3240           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3245           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3250           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3255           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3260           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3265           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3270           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3275           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3280           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3285           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3290           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3295           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3300           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3305           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3310           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3315           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3320           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3325           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3330           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3335           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3340           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3345           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3350           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3355           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3360           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3365           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3370           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3375           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3380           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3385           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3390           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3395           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3400           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3405           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3410           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3415           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3420           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3425           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3430           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3435           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3440           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3445           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3450           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3455           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3460           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3465           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3470           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3475           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3480           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3485           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3490           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3495           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3500           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3505           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3510           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3515           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3520           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3525           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3530           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3535           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3540           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3545           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3550           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3555           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3560           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3565           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3570           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3575           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3580           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3585           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3590           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3595           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3600           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3605           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3610           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3615           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3620           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3625           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3630           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3635           1           1           1
#  Timestep    No_Moles    No_Specs Si192O384H10
       3640           1           1           1
