# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
12801300 -12.3107 -12.25
12801400 -12.4991 -12.25
12801500 -12.6856 -12.25
12801600 -12.8342 -12.25
12801700 -12.9874 -12.25
12801800 -13.1603 -12.25
12801900 -13.3347 -12.25
12802000 -13.486 -12.25
12802100 -13.5553 -12.25
12802200 -13.5448 -12.25
12802300 -13.4183 -12.25
12802400 -13.1759 -12.25
12802500 -12.8551 -12.25
12802600 -12.4768 -12.25
12802700 -12.1081 -12.25
12802800 -11.7334 -12.25
12802900 -11.3502 -12.25
12803000 -11.0056 -12.25
12803100 -10.7206 -12.25
12803200 -10.5116 -12.25
12803300 -10.4591 -12.25
12803400 -10.5211 -12.25
12803500 -10.7066 -12.25
12803600 -11.0015 -12.25
12803700 -11.313 -12.25
12803800 -11.6075 -12.25
12803900 -11.8586 -12.25
12804000 -12.0827 -12.25
12804100 -12.309 -12.25
12804200 -12.5087 -12.25
12804300 -12.7366 -12.25
12804400 -12.9452 -12.25
12804500 -13.1159 -12.25
12804600 -13.2352 -12.25
12804700 -13.2669 -12.25
12804800 -13.1864 -12.25
12804900 -13.0159 -12.25
12805000 -12.8096 -12.25
12805100 -12.6078 -12.25
12805200 -12.5236 -12.25
12805300 -12.499 -12.25
12805400 -12.5253 -12.25
12805500 -12.5506 -12.25
12805600 -12.5704 -12.25
12805700 -12.6171 -12.25
12805800 -12.7366 -12.25
12805900 -12.9653 -12.25
12806000 -13.1852 -12.25
12806100 -13.3571 -12.25
12806200 -13.4309 -12.25
12806300 -13.3526 -12.25
12806400 -13.1636 -12.25
12806500 -12.8664 -12.25
12806600 -12.5029 -12.25
12806700 -12.1349 -12.25
12806800 -11.8626 -12.25
12806900 -11.7314 -12.25
12807000 -11.7221 -12.25
12807100 -11.789 -12.25
12807200 -11.9075 -12.25
12807300 -12.0715 -12.25
12807400 -12.2388 -12.25
12807500 -12.4492 -12.25
12807600 -12.595 -12.25
12807700 -12.6758 -12.25
12807800 -12.6659 -12.25
12807900 -12.5697 -12.25
12808000 -12.407 -12.25
12808100 -12.268 -12.25
12808200 -12.116 -12.25
12808300 -12.049 -12.25
12808400 -11.9731 -12.25
12808500 -11.884 -12.25
12808600 -11.74 -12.25
12808700 -11.558 -12.25
12808800 -11.3883 -12.25
12808900 -11.266 -12.25
12809000 -11.2095 -12.25
12809100 -11.2447 -12.25
12809200 -11.4176 -12.25
12809300 -11.6249 -12.25
12809400 -11.8104 -12.25
12809500 -11.8855 -12.25
12809600 -11.8937 -12.25
12809700 -11.8864 -12.25
12809800 -11.8706 -12.25
12809900 -12.0127 -12.25
12810000 -12.1923 -12.25
12810100 -12.4791 -12.25
12810200 -12.7448 -12.25
12810300 -13.0302 -12.25
12810400 -13.2111 -12.25
12810500 -13.317 -12.25
12810600 -13.3736 -12.25
12810700 -13.4516 -12.25
12810800 -13.5805 -12.25
12810900 -13.7819 -12.25
12811000 -13.9853 -12.25
12811100 -14.0767 -12.25
12811200 -14.0659 -12.25
12811300 -13.8825 -12.25
12811400 -13.6242 -12.25
12811500 -13.3767 -12.25
12811600 -13.1501 -12.25
12811700 -12.9909 -12.25
12811800 -12.8057 -12.25
12811900 -12.6522 -12.25
12812000 -12.4258 -12.25
12812100 -12.1801 -12.25
12812200 -12.0018 -12.25
12812300 -11.8316 -12.25
12812400 -11.7471 -12.25
12812500 -11.7997 -12.25
12812600 -11.8779 -12.25
12812700 -11.9918 -12.25
12812800 -12.162 -12.25
12812900 -12.2787 -12.25
12813000 -12.3474 -12.25
12813100 -12.364 -12.25
12813200 -12.2767 -12.25
12813300 -12.0923 -12.25
12813400 -11.8023 -12.25
12813500 -11.4829 -12.25
12813600 -11.25 -12.25
12813700 -11.1023 -12.25
12813800 -11.0775 -12.25
12813900 -11.2349 -12.25
12814000 -11.4482 -12.25
12814100 -11.7344 -12.25
12814200 -12.0481 -12.25
12814300 -12.2688 -12.25
12814400 -12.4423 -12.25
12814500 -12.5502 -12.25
12814600 -12.5863 -12.25
12814700 -12.577 -12.25
12814800 -12.5367 -12.25
12814900 -12.4631 -12.25
12815000 -12.3578 -12.25
12815100 -12.2144 -12.25
12815200 -12.0594 -12.25
12815300 -11.946 -12.25
12815400 -11.9043 -12.25
12815500 -11.981 -12.25
12815600 -12.1571 -12.25
12815700 -12.4253 -12.25
12815800 -12.7495 -12.25
12815900 -13.0616 -12.25
12816000 -13.3426 -12.25
12816100 -13.5514 -12.25
12816200 -13.6635 -12.25
12816300 -13.6612 -12.25
12816400 -13.5482 -12.25
12816500 -13.3485 -12.25
12816600 -13.0942 -12.25
12816700 -12.8335 -12.25
12816800 -12.6023 -12.25
12816900 -12.4505 -12.25
12817000 -12.3873 -12.25
12817100 -12.3791 -12.25
12817200 -12.3812 -12.25
12817300 -12.379 -12.25
12817400 -12.3652 -12.25
12817500 -12.3202 -12.25
12817600 -12.2617 -12.25
12817700 -12.2309 -12.25
12817800 -12.1677 -12.25
12817900 -12.1415 -12.25
12818000 -12.1696 -12.25
12818100 -12.1808 -12.25
12818200 -12.2165 -12.25
12818300 -12.2066 -12.25
12818400 -12.0991 -12.25
12818500 -11.8919 -12.25
12818600 -11.5754 -12.25
12818700 -11.2425 -12.25
12818800 -10.9787 -12.25
12818900 -10.8085 -12.25
12819000 -10.8529 -12.25
12819100 -11.0148 -12.25
12819200 -11.2982 -12.25
12819300 -11.6571 -12.25
12819400 -12.0034 -12.25
12819500 -12.3255 -12.25
12819600 -12.6068 -12.25
12819700 -12.8602 -12.25
12819800 -13.0784 -12.25
12819900 -13.2237 -12.25
12820000 -13.3392 -12.25
12820100 -13.3851 -12.25
12820200 -13.3188 -12.25
12820300 -13.2117 -12.25
12820400 -13.0446 -12.25
12820500 -12.8636 -12.25
12820600 -12.656 -12.25
12820700 -12.4334 -12.25
12820800 -12.2116 -12.25
12820900 -11.9808 -12.25
12821000 -11.7916 -12.25
12821100 -11.7111 -12.25
12821200 -11.7134 -12.25
12821300 -11.8226 -12.25
12821400 -12.0738 -12.25
12821500 -12.3309 -12.25
12821600 -12.564 -12.25
12821700 -12.7479 -12.25
12821800 -12.852 -12.25
12821900 -12.8964 -12.25
12822000 -12.8881 -12.25
12822100 -12.8316 -12.25
12822200 -12.7404 -12.25
12822300 -12.6023 -12.25
12822400 -12.4153 -12.25
12822500 -12.198 -12.25
12822600 -11.9394 -12.25
12822700 -11.6926 -12.25
12822800 -11.5268 -12.25
12822900 -11.4124 -12.25
12823000 -11.3932 -12.25
12823100 -11.4498 -12.25
12823200 -11.5727 -12.25
12823300 -11.75 -12.25
12823400 -11.9875 -12.25
12823500 -12.2567 -12.25
12823600 -12.5398 -12.25
12823700 -12.7908 -12.25
12823800 -12.9886 -12.25
12823900 -13.1452 -12.25
12824000 -13.2197 -12.25
12824100 -13.2485 -12.25
12824200 -13.2357 -12.25
12824300 -13.1539 -12.25
12824400 -13.0011 -12.25
12824500 -12.7595 -12.25
12824600 -12.42 -12.25
12824700 -12.0579 -12.25
12824800 -11.6749 -12.25
12824900 -11.3347 -12.25
12825000 -11.0193 -12.25
12825100 -10.8011 -12.25
12825200 -10.7002 -12.25
12825300 -10.7061 -12.25
12825400 -10.9038 -12.25
12825500 -11.1613 -12.25
12825600 -11.4443 -12.25
12825700 -11.7507 -12.25
12825800 -12.0407 -12.25
12825900 -12.4041 -12.25
12826000 -12.6844 -12.25
12826100 -12.9956 -12.25
12826200 -13.2282 -12.25
12826300 -13.3828 -12.25
12826400 -13.4824 -12.25
12826500 -13.5194 -12.25
12826600 -13.4889 -12.25
12826700 -13.3505 -12.25
12826800 -13.1272 -12.25
12826900 -12.7878 -12.25
12827000 -12.4886 -12.25
12827100 -12.1637 -12.25
12827200 -11.9808 -12.25
12827300 -11.8688 -12.25
12827400 -11.8587 -12.25
12827500 -11.9088 -12.25
12827600 -11.9828 -12.25
12827700 -12.0748 -12.25
12827800 -12.1425 -12.25
12827900 -12.1736 -12.25
12828000 -12.2176 -12.25
12828100 -12.1966 -12.25
12828200 -12.2197 -12.25
12828300 -12.223 -12.25
12828400 -12.278 -12.25
12828500 -12.3993 -12.25
12828600 -12.556 -12.25
12828700 -12.7518 -12.25
12828800 -12.9022 -12.25
12828900 -13.0284 -12.25
