# Time-averaged data for fix myat2
# TimeStep v_delta_r
40000 50.7574
40100 50.0428
40200 49.9969
40300 49.9347
40400 50.006
40500 50.3835
40600 50.7551
40700 50.4708
40800 50.5774
40900 50.5565
41000 50.2958
41100 50.4459
41200 50.3332
41300 50.1919
41400 50.1051
41500 50.2644
41600 50.3716
41700 50.2078
41800 50.2447
41900 50.3532
42000 50.4417
42100 50.4012
42200 50.2515
42300 50.2412
42400 50.0163
42500 50.0027
42600 49.9504
42700 49.7042
42800 49.7951
42900 49.7959
43000 49.8293
43100 50.0438
43200 50.2584
43300 50.1995
43400 50.0638
43500 49.9004
43600 49.6107
43700 49.8199
43800 50.1564
43900 50.2586
44000 50.2943
44100 50.1461
44200 50.0471
44300 50.0371
44400 49.9952
44500 50.0532
44600 50.2309
44700 50.1019
44800 50.116
44900 50.1712
45000 50.0461
45100 50.4318
45200 50.5871
45300 50.2594
45400 50.1276
45500 49.6602
45600 49.4212
45700 49.3428
45800 49.5997
45900 49.9027
46000 50.0855
46100 50.3257
46200 50.1622
46300 50.0238
46400 50.0176
46500 50.1173
46600 50.0881
46700 49.8324
46800 49.6255
46900 49.4749
47000 49.8864
47100 50.2838
47200 50.4259
47300 50.4372
47400 50.519
47500 50.1569
47600 50.0116
47700 50.0816
47800 49.8548
47900 50.0512
48000 50.2631
48100 50.2045
48200 49.9604
48300 49.8071
48400 49.768
48500 49.6985
48600 49.6947
48700 49.7384
48800 49.5227
48900 49.6202
49000 50.145
49100 50.4151
49200 50.3417
49300 50.3588
49400 50.3359
49500 50.3447
49600 50.0521
49700 49.7916
49800 49.6535
49900 49.8109
50000 50.2456
50100 50.4292
50200 50.4077
50300 50.2279
50400 50.0328
50500 49.7148
50600 49.6674
50700 49.9295
50800 49.8778
50900 49.8739
51000 49.8199
51100 49.7416
51200 49.6699
51300 49.4361
51400 49.4466
51500 49.7389
51600 49.8383
51700 49.8025
51800 49.9998
51900 50.2116
52000 50.2016
52100 50.3558
52200 50.4256
52300 50.566
52400 50.5785
