# Time-averaged data for fix myat3
# TimeStep c_rgyr
40100 14.7357
40200 14.6394
40300 14.5546
40400 14.5198
40500 14.5034
40600 14.5523
40700 14.6094
40800 14.643
40900 14.5758
41000 14.4779
41100 14.4135
41200 14.4124
41300 14.4714
41400 14.572
41500 14.6823
41600 14.7366
41700 14.7665
41800 14.7993
41900 14.7724
42000 14.6859
42100 14.5663
42200 14.4173
42300 14.3751
42400 14.3422
42500 14.2882
42600 14.2126
42700 14.1476
42800 14.0974
42900 14.1083
43000 14.1869
43100 14.3482
43200 14.4275
43300 14.4108
43400 14.4127
43500 14.4743
43600 14.5436
43700 14.5984
43800 14.5728
43900 14.4976
44000 14.4664
44100 14.4638
44200 14.5114
44300 14.5531
44400 14.6285
44500 14.6402
44600 14.5906
44700 14.5686
44800 14.5943
44900 14.5875
45000 14.529
45100 14.4672
45200 14.4187
45300 14.3912
45400 14.4362
45500 14.5174
45600 14.5814
45700 14.6573
45800 14.708
45900 14.723
46000 14.7123
46100 14.7092
46200 14.7042
46300 14.6904
46400 14.6085
46500 14.5262
46600 14.4985
46700 14.45
46800 14.4309
46900 14.442
47000 14.4479
47100 14.4421
47200 14.4455
47300 14.4749
47400 14.5175
47500 14.4814
47600 14.4694
47700 14.4308
47800 14.4326
47900 14.3179
48000 14.1773
48100 14.1411
48200 14.1928
48300 14.3322
48400 14.441
48500 14.4464
48600 14.429
48700 14.459
48800 14.4933
48900 14.4998
49000 14.4852
49100 14.4111
49200 14.2888
49300 14.2424
49400 14.2174
49500 14.2151
49600 14.2488
49700 14.2704
49800 14.2944
49900 14.3265
50000 14.3966
50100 14.4546
50200 14.4395
50300 14.4324
50400 14.4451
50500 14.5355
50600 14.6232
50700 14.5687
50800 14.4677
50900 14.4611
51000 14.4686
51100 14.4588
51200 14.4467
51300 14.4702
51400 14.5459
51500 14.5572
51600 14.5288
51700 14.5632
51800 14.6099
51900 14.6143
52000 14.5814
52100 14.5108
52200 14.4942
52300 14.6181
52400 14.7216
52500 14.7393
52600 14.6749
52700 14.5827
52800 14.4864
52900 14.4135
53000 14.3807
53100 14.3863
53200 14.4978
53300 14.5978
53400 14.6545
53500 14.6303
53600 14.489
53700 14.3703
53800 14.2877
53900 14.2628
54000 14.2681
54100 14.3221
54200 14.4096
54300 14.4693
54400 14.4438
54500 14.3876
54600 14.3351
54700 14.3158
54800 14.3359
54900 14.4105
55000 14.5876
55100 14.7708
55200 14.9075
55300 14.9193
55400 14.8706
55500 14.8703
55600 14.8889
55700 14.8144
55800 14.7009
55900 14.5805
56000 14.4832
56100 14.4108
56200 14.4778
56300 14.5554
56400 14.5882
56500 14.5705
56600 14.535
56700 14.526
56800 14.4776
56900 14.4341
57000 14.4792
57100 14.538
57200 14.6661
57300 14.7821
57400 14.8015
57500 14.7931
57600 14.7501
57700 14.7513
57800 14.7694
57900 14.7225
58000 14.652
58100 14.6339
58200 14.6688
58300 14.7164
58400 14.7574
58500 14.7453
58600 14.7203
58700 14.6785
58800 14.6325
58900 14.6301
59000 14.6519
59100 14.6349
59200 14.6453
59300 14.6762
59400 14.7354
59500 14.8043
59600 14.8451
59700 14.7991
59800 14.7159
59900 14.6007
60000 14.5391
