# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
8401000 -13.498 -12.5
8402000 -12.7814 -12.5
8403000 -14.3646 -12.5
8404000 -13.7753 -12.5
8405000 -13.7048 -12.5
8406000 -12.9465 -12.5
8407000 -13.268 -12.5
8408000 -13.8319 -12.5
8409000 -12.1132 -12.5
8410000 -13.7062 -12.5
8411000 -13.3969 -12.5
8412000 -14.7671 -12.5
8413000 -14.1876 -12.5
8414000 -14.4727 -12.5
8415000 -14.3339 -12.5
8416000 -13.9373 -12.5
8417000 -12.77 -12.5
8418000 -13.8575 -12.5
8419000 -15.3942 -12.5
8420000 -14.6455 -12.5
8421000 -15.1087 -12.5
8422000 -14.3373 -12.5
8423000 -14.7211 -12.5
8424000 -12.3094 -12.5
8425000 -13.1614 -12.5
8426000 -13.7461 -12.5
8427000 -12.0407 -12.5
8428000 -12.3635 -12.5
8429000 -14.1057 -12.5
8430000 -15.0362 -12.5
8431000 -12.9643 -12.5
8432000 -14.1935 -12.5
8433000 -14.1586 -12.5
8434000 -12.7245 -12.5
8435000 -12.9914 -12.5
8436000 -11.5935 -12.5
8437000 -12.3103 -12.5
8438000 -13.5452 -12.5
8439000 -13.1143 -12.5
8440000 -13.0568 -12.5
8441000 -13.776 -12.5
8442000 -13.6192 -12.5
8443000 -12.0976 -12.5
8444000 -13.0589 -12.5
8445000 -12.7115 -12.5
8446000 -13.5526 -12.5
8447000 -12.9122 -12.5
8448000 -13.3655 -12.5
8449000 -14.4926 -12.5
8450000 -12.3886 -12.5
8451000 -12.1152 -12.5
8452000 -12.6663 -12.5
8453000 -12.8168 -12.5
8454000 -13.2519 -12.5
8455000 -13.4545 -12.5
8456000 -13.6434 -12.5
8457000 -12.341 -12.5
8458000 -12.9559 -12.5
8459000 -13.7737 -12.5
8460000 -13.2103 -12.5
8461000 -12.8576 -12.5
8462000 -13.9032 -12.5
8463000 -12.9405 -12.5
8464000 -12.9349 -12.5
8465000 -13.2847 -12.5
8466000 -12.3043 -12.5
8467000 -11.1893 -12.5
8468000 -14.0437 -12.5
8469000 -11.7308 -12.5
8470000 -11.6962 -12.5
8471000 -13.6761 -12.5
8472000 -12.7392 -12.5
8473000 -11.4994 -12.5
8474000 -14.7316 -12.5
8475000 -14.0491 -12.5
8476000 -11.4093 -12.5
8477000 -12.4048 -12.5
8478000 -14.169 -12.5
8479000 -12.4966 -12.5
8480000 -13.0463 -12.5
8481000 -12.3145 -12.5
8482000 -12.7254 -12.5
8483000 -12.5087 -12.5
8484000 -13.5562 -12.5
8485000 -12.9627 -12.5
8486000 -13.1764 -12.5
8487000 -13.215 -12.5
8488000 -12.6226 -12.5
8489000 -13.4117 -12.5
8490000 -13.7225 -12.5
8491000 -13.2312 -12.5
8492000 -13.1574 -12.5
8493000 -13.6707 -12.5
8494000 -13.5388 -12.5
8495000 -13.2092 -12.5
8496000 -12.7329 -12.5
8497000 -11.937 -12.5
8498000 -12.8036 -12.5
8499000 -13.2392 -12.5
8500000 -12.7444 -12.5
8501000 -13.5081 -12.5
8502000 -14.2203 -12.5
8503000 -13.3519 -12.5
8504000 -12.8444 -12.5
8505000 -13.181 -12.5
8506000 -13.6069 -12.5
8507000 -12.3345 -12.5
8508000 -13.6982 -12.5
8509000 -12.0287 -12.5
8510000 -13.7868 -12.5
8511000 -12.2267 -12.5
8512000 -12.8973 -12.5
8513000 -12.7564 -12.5
8514000 -14.4117 -12.5
8515000 -12.3968 -12.5
8516000 -13.7141 -12.5
8517000 -13.4291 -12.5
8518000 -12.4327 -12.5
8519000 -13.7678 -12.5
8520000 -12.8237 -12.5
8521000 -13.8336 -12.5
8522000 -13.5101 -12.5
8523000 -12.0767 -12.5
8524000 -13.3114 -12.5
8525000 -12.618 -12.5
8526000 -13.2806 -12.5
8527000 -12.3271 -12.5
8528000 -12.909 -12.5
8529000 -12.4317 -12.5
8530000 -13.9975 -12.5
8531000 -12.2041 -12.5
8532000 -11.4135 -12.5
8533000 -13.2297 -12.5
8534000 -13.79 -12.5
8535000 -13.0965 -12.5
8536000 -15.2326 -12.5
8537000 -11.612 -12.5
8538000 -12.672 -12.5
8539000 -12.9235 -12.5
8540000 -11.9636 -12.5
8541000 -12.323 -12.5
8542000 -13.5992 -12.5
8543000 -13.8716 -12.5
8544000 -13.0957 -12.5
8545000 -12.8055 -12.5
8546000 -12.4829 -12.5
8547000 -13.8722 -12.5
8548000 -13.3841 -12.5
8549000 -11.5812 -12.5
8550000 -12.7645 -12.5
8551000 -14.5645 -12.5
8552000 -11.3179 -12.5
8553000 -11.3525 -12.5
8554000 -13.2621 -12.5
8555000 -12.9583 -12.5
8556000 -11.8866 -12.5
8557000 -13.5868 -12.5
8558000 -12.0523 -12.5
8559000 -13.6029 -12.5
8560000 -12.1088 -12.5
8561000 -12.1167 -12.5
8562000 -13.8917 -12.5
8563000 -14.0164 -12.5
8564000 -12.5398 -12.5
8565000 -12.8687 -12.5
8566000 -13.7285 -12.5
8567000 -12.7621 -12.5
8568000 -11.8782 -12.5
8569000 -13.5447 -12.5
8570000 -14.7961 -12.5
8571000 -13.0656 -12.5
8572000 -12.9392 -12.5
8573000 -12.8406 -12.5
8574000 -13.6759 -12.5
8575000 -13.9563 -12.5
8576000 -12.2265 -12.5
8577000 -13.2468 -12.5
8578000 -12.5196 -12.5
8579000 -12.874 -12.5
8580000 -12.8073 -12.5
8581000 -11.89 -12.5
8582000 -13.7572 -12.5
8583000 -13.6354 -12.5
8584000 -12.5496 -12.5
8585000 -12.0956 -12.5
8586000 -12.9459 -12.5
8587000 -12.7492 -12.5
8588000 -12.3164 -12.5
8589000 -12.786 -12.5
8590000 -12.4325 -12.5
8591000 -13.0602 -12.5
8592000 -13.2988 -12.5
8593000 -13.7281 -12.5
8594000 -13.2182 -12.5
8595000 -12.591 -12.5
8596000 -12.4236 -12.5
8597000 -12.8808 -12.5
8598000 -12.7669 -12.5
8599000 -13.6305 -12.5
8600000 -13.7644 -12.5
8601000 -13.9529 -12.5
8602000 -12.8938 -12.5
8603000 -12.4053 -12.5
8604000 -12.3969 -12.5
8605000 -13.1764 -12.5
8606000 -13.473 -12.5
8607000 -14.0561 -12.5
8608000 -13.0367 -12.5
8609000 -13.2547 -12.5
8610000 -12.9234 -12.5
8611000 -11.9858 -12.5
8612000 -12.076 -12.5
8613000 -13.0688 -12.5
8614000 -13.5788 -12.5
8615000 -12.0177 -12.5
8616000 -14.133 -12.5
8617000 -12.9349 -12.5
8618000 -12.1728 -12.5
8619000 -14.4779 -12.5
8620000 -15.188 -12.5
8621000 -12.5946 -12.5
8622000 -12.2758 -12.5
8623000 -12.0962 -12.5
8624000 -13.0098 -12.5
8625000 -13.8111 -12.5
8626000 -12.0909 -12.5
8627000 -11.2579 -12.5
8628000 -13.8208 -12.5
8629000 -14.4072 -12.5
8630000 -11.3729 -12.5
8631000 -12.5398 -12.5
8632000 -13.4574 -12.5
8633000 -13.1492 -12.5
8634000 -11.3705 -12.5
8635000 -12.5744 -12.5
8636000 -14.3788 -12.5
8637000 -12.9373 -12.5
8638000 -10.9492 -12.5
8639000 -13.8156 -12.5
8640000 -14.169 -12.5
8641000 -10.9624 -12.5
8642000 -12.5775 -12.5
8643000 -14.5096 -12.5
8644000 -11.0071 -12.5
8645000 -12.6615 -12.5
8646000 -14.239 -12.5
8647000 -12.2708 -12.5
8648000 -11.8204 -12.5
8649000 -12.9621 -12.5
8650000 -11.2889 -12.5
8651000 -12.6939 -12.5
8652000 -13.495 -12.5
8653000 -11.0513 -12.5
8654000 -12.1427 -12.5
8655000 -13.6864 -12.5
8656000 -11.0599 -12.5
8657000 -12.8369 -12.5
8658000 -13.5614 -12.5
8659000 -12.37 -12.5
8660000 -11.9847 -12.5
8661000 -13.5327 -12.5
8662000 -13.9305 -12.5
8663000 -11.3218 -12.5
8664000 -12.9045 -12.5
8665000 -14.9661 -12.5
8666000 -13.6374 -12.5
8667000 -11.7748 -12.5
8668000 -11.966 -12.5
8669000 -14.1493 -12.5
8670000 -12.9577 -12.5
8671000 -11.77 -12.5
8672000 -12.1323 -12.5
8673000 -15.1319 -12.5
8674000 -14.2491 -12.5
8675000 -12.2411 -12.5
8676000 -12.4994 -12.5
8677000 -12.3674 -12.5
8678000 -13.3697 -12.5
8679000 -12.3116 -12.5
8680000 -12.5101 -12.5
8681000 -13.6405 -12.5
8682000 -11.8221 -12.5
8683000 -13.7857 -12.5
8684000 -11.7413 -12.5
8685000 -14.0335 -12.5
8686000 -12.3891 -12.5
8687000 -13.6641 -12.5
8688000 -14.341 -12.5
8689000 -12.7885 -12.5
8690000 -12.2591 -12.5
8691000 -12.9401 -12.5
8692000 -14.1971 -12.5
8693000 -11.0739 -12.5
8694000 -11.9617 -12.5
8695000 -14.059 -12.5
8696000 -11.9644 -12.5
8697000 -12.2834 -12.5
8698000 -12.793 -12.5
8699000 -13.1279 -12.5
8700000 -12.15 -12.5
8701000 -13.8063 -12.5
8702000 -12.6299 -12.5
8703000 -13.4737 -12.5
8704000 -12.2301 -12.5
8705000 -12.395 -12.5
8706000 -13.1762 -12.5
8707000 -13.5221 -12.5
8708000 -13.5287 -12.5
8709000 -13.0506 -12.5
8710000 -12.1615 -12.5
8711000 -12.1322 -12.5
8712000 -13.7933 -12.5
8713000 -13.8642 -12.5
8714000 -11.075 -12.5
8715000 -13.846 -12.5
8716000 -12.2394 -12.5
8717000 -12.2615 -12.5
8718000 -13.9201 -12.5
8719000 -13.515 -12.5
8720000 -11.4421 -12.5
8721000 -12.1406 -12.5
8722000 -13.9086 -12.5
8723000 -13.2815 -12.5
8724000 -11.2467 -12.5
8725000 -11.9881 -12.5
8726000 -13.859 -12.5
8727000 -12.8461 -12.5
8728000 -13.1266 -12.5
8729000 -12.7645 -12.5
8730000 -13.4756 -12.5
8731000 -12.7421 -12.5
8732000 -13.2868 -12.5
8733000 -13.1484 -12.5
8734000 -12.5322 -12.5
8735000 -12.7957 -12.5
8736000 -11.9581 -12.5
8737000 -13.1403 -12.5
8738000 -12.4935 -12.5
8739000 -13.3354 -12.5
8740000 -13.1053 -12.5
8741000 -13.1126 -12.5
8742000 -11.962 -12.5
8743000 -12.7427 -12.5
8744000 -13.1945 -12.5
8745000 -12.9848 -12.5
8746000 -12.5517 -12.5
8747000 -13.8675 -12.5
8748000 -13.9372 -12.5
8749000 -13.8825 -12.5
8750000 -12.5507 -12.5
8751000 -13.4534 -12.5
8752000 -12.5906 -12.5
8753000 -12.9061 -12.5
8754000 -12.4781 -12.5
8755000 -13.5468 -12.5
8756000 -13.8728 -12.5
8757000 -13.4526 -12.5
8758000 -11.9141 -12.5
8759000 -13.0336 -12.5
8760000 -13.0609 -12.5
8761000 -12.6571 -12.5
8762000 -12.9088 -12.5
8763000 -12.7809 -12.5
8764000 -13.5149 -12.5
8765000 -12.9774 -12.5
8766000 -11.9925 -12.5
8767000 -13.5293 -12.5
8768000 -11.9252 -12.5
8769000 -12.156 -12.5
8770000 -12.5644 -12.5
8771000 -12.1818 -12.5
8772000 -12.2877 -12.5
8773000 -13.5459 -12.5
8774000 -10.6148 -12.5
8775000 -12.2628 -12.5
8776000 -15.5485 -12.5
8777000 -13.1253 -12.5
8778000 -11.9889 -12.5
8779000 -13.0394 -12.5
8780000 -13.1091 -12.5
8781000 -12.2933 -12.5
8782000 -13.6377 -12.5
8783000 -12.6718 -12.5
8784000 -12.8957 -12.5
8785000 -10.9208 -12.5
8786000 -15.2525 -12.5
8787000 -12.543 -12.5
8788000 -10.54 -12.5
8789000 -13.6503 -12.5
8790000 -12.7455 -12.5
8791000 -11.3481 -12.5
8792000 -13.1978 -12.5
8793000 -13.0372 -12.5
8794000 -14.0233 -12.5
8795000 -12.2121 -12.5
8796000 -12.843 -12.5
8797000 -11.5716 -12.5
8798000 -13.7571 -12.5
8799000 -14.5301 -12.5
8800000 -13.0235 -12.5
8801000 -12.6032 -12.5
8802000 -11.9968 -12.5
8803000 -12.7502 -12.5
8804000 -12.4575 -12.5
8805000 -12.8947 -12.5
8806000 -13.1537 -12.5
8807000 -13.3725 -12.5
8808000 -12.4459 -12.5
8809000 -13.4278 -12.5
8810000 -13.2495 -12.5
8811000 -13.1716 -12.5
8812000 -12.7117 -12.5
8813000 -12.3318 -12.5
8814000 -12.7107 -12.5
8815000 -11.4215 -12.5
8816000 -14.3958 -12.5
8817000 -11.6517 -12.5
8818000 -12.451 -12.5
8819000 -13.8495 -12.5
8820000 -12.2042 -12.5
8821000 -12.4609 -12.5
8822000 -12.8966 -12.5
8823000 -12.8812 -12.5
8824000 -13.0019 -12.5
8825000 -11.5546 -12.5
8826000 -13.6534 -12.5
8827000 -14.1603 -12.5
8828000 -12.1582 -12.5
8829000 -11.8701 -12.5
8830000 -12.7737 -12.5
8831000 -13.894 -12.5
8832000 -12.9381 -12.5
8833000 -11.8979 -12.5
8834000 -12.6001 -12.5
8835000 -13.6992 -12.5
8836000 -13.4707 -12.5
8837000 -11.5539 -12.5
8838000 -13.0293 -12.5
8839000 -13.3402 -12.5
8840000 -11.6696 -12.5
8841000 -12.6016 -12.5
8842000 -13.6067 -12.5
8843000 -12.7251 -12.5
