# Time-averaged data for fix myat2
# TimeStep v_myvol
40600 13876.3
40700 13825.7
40800 13845.9
40900 13875.9
41000 13868.8
41100 13839
41200 13810
41300 13787.8
41400 13818.9
41500 13870.5
41600 13937
41700 14001
41800 14070.9
41900 14162.3
42000 14280.9
42100 14398.9
42200 14467.2
42300 14525.3
42400 14531
42500 14486.5
42600 14429.2
42700 14394.1
42800 14377.1
42900 14367
43000 14348.7
43100 14301.4
43200 14280.7
43300 14313.7
43400 14362.5
43500 14396.8
43600 14418.9
43700 14406.1
43800 14350
43900 14289.8
44000 14227.3
44100 14203.7
44200 14191.1
44300 14118
44400 14046.2
44500 14039.3
44600 14060.5
44700 14100.3
44800 14151.4
44900 14158.3
45000 14142.1
45100 14166.2
45200 14214.6
45300 14257.1
45400 14304.9
45500 14329.4
45600 14292.9
45700 14232.1
45800 14174.7
45900 14110
46000 14048.3
46100 14006.9
46200 14031.6
46300 14076.1
46400 14088.6
46500 14059.6
46600 14039
46700 14004.2
46800 13985.7
46900 14027.5
47000 14078.2
47100 14113.1
47200 14139.8
47300 14143.4
47400 14128.7
47500 14123.4
47600 14175.1
47700 14205
47800 14152.4
47900 14045.8
48000 13960.2
48100 13939.8
48200 13990.8
48300 14108.7
48400 14260.6
48500 14424.1
48600 14555.2
48700 14616.8
48800 14639.5
48900 14627.6
49000 14522.6
49100 14390.5
49200 14264.1
49300 14166.2
49400 14108.4
49500 14063.9
49600 14097.7
49700 14153.6
49800 14192.8
49900 14216.4
50000 14261
