# Time-averaged data for fix myat2
# TimeStep v_Ntype2in v_Ntype2ou
2000 137.03 11.97
4000 128.505 20.495
6000 116.695 32.305
8000 112.625 36.375
10000 111.13 37.87
12000 109.175 39.825
14000 105.06 43.94
16000 104.11 44.89
18000 98.23 50.77
20000 93.76 55.24
22000 92.59 56.41
24000 91.875 57.125
26000 90.91 58.09
28000 84.155 64.845
30000 82.78 66.22
32000 82.22 66.78
34000 83.655 65.345
36000 82.915 66.085
38000 77.125 71.875
40000 70.895 78.105
42000 68.88 80.12
44000 65.825 83.175
46000 64.195 84.805
48000 59.93 89.07
50000 61.555 87.445
52000 60.61 88.39
54000 62.215 86.785
56000 63.75 85.25
58000 64.07 84.93
60000 62.36 86.64
62000 60.925 88.075
64000 60.07 88.93
66000 62.61 86.39
68000 58.795 90.205
70000 53.37 95.63
72000 55.475 93.525
74000 54.35 94.65
76000 56.955 92.045
78000 54.76 94.24
80000 55.115 93.885
82000 54.565 94.435
84000 54.415 94.585
86000 54.8 94.2
88000 55.55 93.45
90000 51.15 97.85
92000 49.485 99.515
94000 51.91 97.09
96000 49.115 99.885
98000 47.73 101.27
100000 47.63 101.37
102000 50.07 98.93
104000 49.78 99.22
106000 50.52 98.48
108000 51.665 97.335
110000 48.79 100.21
112000 49.135 99.865
114000 48.1 100.9
116000 47.265 101.735
118000 44.585 104.415
120000 41.29 107.71
122000 43.36 105.64
124000 41.36 107.64
126000 40.795 108.205
128000 41.725 107.275
130000 41.385 107.615
132000 42.97 106.03
134000 42.44 106.56
136000 41.57 107.43
138000 41.88 107.12
140000 40.255 108.745
142000 42.87 106.13
144000 41.155 107.845
146000 40.23 108.77
148000 40.32 108.68
150000 37.325 111.675
152000 34.775 114.225
154000 35.51 113.49
156000 36.51 112.49
158000 36.72 112.28
160000 38.98 110.02
162000 42.405 106.595
164000 40.09 108.91
166000 38.58 110.42
168000 38.305 110.695
170000 38.2 110.8
172000 35.35 113.65
174000 34.74 114.26
176000 34.93 114.07
178000 34.945 114.055
180000 34.43 114.57
182000 35.785 113.215
184000 35.89 113.11
186000 33.675 115.325
188000 33.315 115.685
190000 30.46 118.54
192000 29.85 119.15
194000 30.19 118.81
196000 32.015 116.985
198000 32.52 116.48
200000 31.48 117.52
202000 30.865 118.135
204000 30.255 118.745
206000 32.25 116.75
208000 30.925 118.075
210000 29.7 119.3
212000 29.015 119.985
214000 32.07 116.93
216000 30.145 118.855
218000 30.83 118.17
220000 32.845 116.155
222000 32.065 116.935
224000 30.885 118.115
226000 28.06 120.94
228000 28.03 120.97
230000 29.925 119.075
232000 30.845 118.155
234000 30.19 118.81
236000 28.875 120.125
238000 27.28 121.72
240000 27.265 121.735
242000 25.945 123.055
244000 24.715 124.285
246000 21.53 127.47
248000 22.225 126.775
250000 23.62 125.38
252000 25.2 123.8
254000 26.51 122.49
256000 27.11 121.89
258000 25.465 123.535
260000 25.58 123.42
262000 28.43 120.57
264000 26.56 122.44
266000 27.905 121.095
268000 24.84 124.16
270000 28.155 120.845
272000 29.72 119.28
274000 29.3 119.7
276000 27.915 121.085
278000 29.11 119.89
280000 26.295 122.705
282000 27.165 121.835
284000 25.53 123.47
286000 25.885 123.115
288000 23.005 125.995
290000 22.955 126.045
292000 24.175 124.825
294000 24.985 124.015
296000 25.725 123.275
298000 23.695 125.305
300000 24.815 124.185
