# Time-averaged data for fix at1
# TimeStep v_L
1000 55.4712
2000 55.4712
3000 55.4712
4000 55.4712
5000 55.4712
6000 55.9762
7000 56.9762
8000 57.9762
9000 58.9762
10000 59.9762
11000 60.9762
12000 61.9762
13000 62.9762
14000 63.9762
15000 64.9762
