# Time-averaged data for fix at1
# TimeStep v_pos
1000 27.7356
2000 27.7356
3000 27.7356
4000 27.7356
5000 27.7356
6000 27.7735
7000 27.8485
8000 27.9235
9000 27.9985
10000 28.0735
11000 28.1485
12000 28.2235
13000 28.2985
14000 28.3735
15000 28.4485
16000 28.5235
17000 28.5985
18000 28.6735
19000 28.7485
20000 28.8235
21000 28.8985
22000 28.9735
23000 29.0485
24000 29.1235
25000 29.1985
26000 29.2735
27000 29.3485
28000 29.4235
29000 29.4985
30000 29.5735
31000 29.6485
32000 29.7235
33000 29.7985
34000 29.8735
35000 29.9485
36000 30.0235
37000 30.0985
38000 30.1735
39000 30.2485
40000 30.3235
41000 30.3985
42000 30.4735
43000 30.5485
44000 30.6235
45000 30.6985
46000 30.7735
47000 30.8485
48000 30.9235
49000 30.9985
50000 31.0735
51000 31.1485
52000 31.2235
53000 31.2985
54000 31.3735
55000 31.4485
56000 31.5235
57000 31.5985
58000 31.6735
59000 31.7485
60000 31.8235
61000 31.8985
62000 31.9735
63000 32.0485
64000 32.1235
65000 32.1985
66000 32.2735
67000 32.3485
68000 32.4235
69000 32.4985
70000 32.5735
71000 32.6485
72000 32.7235
73000 32.7985
74000 32.8735
75000 32.9485
76000 33.0235
77000 33.0985
78000 33.1735
79000 33.2485
80000 33.3235
81000 33.3985
82000 33.4735
83000 33.5485
84000 33.6235
85000 33.6985
86000 33.7735
87000 33.8485
88000 33.9235
89000 33.9985
90000 34.0735
91000 34.1485
92000 34.2235
93000 34.2985
94000 34.3735
95000 34.4485
96000 34.5235
97000 34.5985
98000 34.6735
99000 34.7485
100000 34.8235
101000 34.8985
102000 34.9735
103000 35.0485
104000 35.1235
105000 35.1985
106000 35.2735
107000 35.3485
108000 35.4235
109000 35.4985
110000 35.5735
111000 35.6485
112000 35.7235
113000 35.7985
114000 35.8735
115000 35.9485
116000 36.0235
117000 36.0985
118000 36.1735
119000 36.2485
120000 36.3235
121000 36.3985
122000 36.4735
123000 36.5485
124000 36.6235
125000 36.6985
126000 36.7735
127000 36.8485
128000 36.9235
129000 36.9985
130000 37.0735
131000 37.1485
132000 37.2235
133000 37.2985
134000 37.3735
135000 37.4485
136000 37.5235
137000 37.5985
138000 37.6735
139000 37.7485
140000 37.8235
141000 37.8985
142000 37.9735
143000 38.0485
144000 38.1235
145000 38.1985
146000 38.2735
147000 38.3485
148000 38.4235
149000 38.4985
150000 38.5735
151000 38.6485
152000 38.7235
153000 38.7985
154000 38.8735
155000 38.9485
156000 39.0235
157000 39.0985
158000 39.1735
159000 39.2485
160000 39.3235
161000 39.3985
162000 39.4735
163000 39.5485
164000 39.6235
165000 39.6985
166000 39.7735
167000 39.8485
168000 39.9235
169000 39.9985
170000 40.0735
171000 40.1485
172000 40.2235
173000 40.2985
174000 40.3735
175000 40.4485
176000 40.5235
177000 40.5985
178000 40.6735
179000 40.7485
180000 40.8235
181000 40.8985
182000 40.9735
183000 41.0485
184000 41.1235
185000 41.1985
186000 41.2735
187000 41.3485
188000 41.4235
189000 41.4985
190000 41.5735
191000 41.6485
192000 41.7235
193000 41.7985
194000 41.8735
195000 41.9485
196000 42.0235
197000 42.0985
198000 42.1735
199000 42.2485
200000 42.3235
201000 42.3985
202000 42.4735
203000 42.5485
204000 42.6235
205000 42.6985
206000 42.7735
207000 42.8485
208000 42.9235
209000 42.9985
210000 43.0735
211000 43.1485
212000 43.2235
213000 43.2985
214000 43.3735
215000 43.4485
216000 43.5235
217000 43.5985
218000 43.6735
219000 43.7485
220000 43.8235
221000 43.8985
222000 43.9735
223000 44.0485
224000 44.1235
225000 44.1985
226000 44.2735
227000 44.3485
228000 44.4235
229000 44.4985
230000 44.5735
231000 44.6485
232000 44.7235
233000 44.7985
234000 44.8735
235000 44.9485
236000 45.0235
237000 45.0985
238000 45.1735
239000 45.2485
240000 45.3235
241000 45.3985
242000 45.4735
243000 45.5485
244000 45.6235
245000 45.6985
246000 45.7735
247000 45.8485
248000 45.9235
249000 45.9985
250000 46.0735
251000 46.1485
252000 46.2235
253000 46.2985
254000 46.3735
255000 46.4485
256000 46.5235
257000 46.5985
258000 46.6735
259000 46.7485
260000 46.8235
261000 46.8985
262000 46.9735
263000 47.0485
264000 47.1235
265000 47.1985
266000 47.2735
267000 47.3485
268000 47.4235
269000 47.4985
270000 47.5735
271000 47.6485
272000 47.7235
273000 47.7985
274000 47.8735
275000 47.9485
276000 48.0235
277000 48.0985
278000 48.1735
279000 48.2485
280000 48.3235
281000 48.3985
282000 48.4735
283000 48.5485
284000 48.6235
285000 48.6985
