# Time-averaged data for fix myat1
# TimeStep v_Ntype1in v_Ntype1ou
2000 15.685 984.315
4000 26.12 973.88
6000 43.055 956.945
8000 50.905 949.095
10000 52.545 947.455
12000 57.71 942.29
14000 60.925 939.075
16000 62.22 937.78
18000 69.31 930.69
20000 73.165 926.835
22000 74.35 925.65
24000 77.235 922.765
26000 82.665 917.335
28000 85.27 914.73
30000 92.015 907.985
32000 92.34 907.66
34000 94.85 905.15
36000 99.095 900.905
38000 100.29 899.71
40000 100.96 899.04
42000 103.36 896.64
44000 107.15 892.85
46000 109.235 890.765
48000 113.81 886.19
50000 118.155 881.845
52000 121.715 878.285
54000 115.3 884.7
56000 112.725 887.275
58000 121.65 878.35
60000 123.945 876.055
62000 122.71 877.29
64000 119.1 880.9
66000 119.765 880.235
68000 125.16 874.84
70000 130.305 869.695
72000 126.44 873.56
74000 127.59 872.41
76000 133.095 866.905
78000 132.97 867.03
80000 133.16 866.84
82000 132.285 867.715
84000 131.87 868.13
86000 133.925 866.075
88000 136.615 863.385
90000 134.205 865.795
92000 144.735 855.265
94000 146.53 853.47
96000 140.38 859.62
98000 143.415 856.585
100000 144.375 855.625
102000 145.82 854.18
104000 144.875 855.125
106000 148.24 851.76
108000 148.775 851.225
110000 148.84 851.16
112000 154.975 845.025
114000 162.74 837.26
116000 159.54 840.46
118000 163.51 836.49
120000 162.91 837.09
122000 166.445 833.555
124000 164.36 835.64
126000 166.03 833.97
128000 170.285 829.715
130000 166.78 833.22
132000 163.975 836.025
134000 164.445 835.555
136000 167.715 832.285
138000 166.575 833.425
140000 165.98 834.02
142000 159.695 840.305
144000 161.465 838.535
146000 161.555 838.445
148000 157.885 842.115
150000 157.965 842.035
152000 154.41 845.59
154000 158.28 841.72
156000 163.73 836.27
158000 161.205 838.795
160000 163.755 836.245
162000 168.535 831.465
164000 172.22 827.78
166000 178.61 821.39
168000 175.855 824.145
170000 175.54 824.46
172000 172.715 827.285
174000 173.94 826.06
176000 173.87 826.13
178000 169.005 830.995
180000 170.61 829.39
182000 177.52 822.48
184000 185.185 814.815
186000 177.35 822.65
188000 174.4 825.6
190000 183.96 816.04
192000 180.835 819.165
194000 185.06 814.94
196000 187.12 812.88
198000 188.47 811.53
200000 187.185 812.815
202000 189.975 810.025
204000 189.935 810.065
206000 181.35 818.65
208000 184.31 815.69
210000 181.625 818.375
212000 185.515 814.485
214000 181.365 818.635
216000 187.03 812.97
218000 185.46 814.54
220000 186.35 813.65
222000 190.29 809.71
224000 186.77 813.23
226000 179.315 820.685
228000 179.85 820.15
230000 177.125 822.875
232000 173.44 826.56
234000 173.09 826.91
236000 170.68 829.32
238000 181.875 818.125
240000 183.51 816.49
242000 181.85 818.15
244000 177.555 822.445
246000 183.855 816.145
248000 178.115 821.885
250000 181.77 818.23
252000 186.39 813.61
254000 189.635 810.365
256000 192.29 807.71
258000 198.96 801.04
260000 202.485 797.515
262000 204.045 795.955
264000 205.45 794.55
266000 197.8 802.2
268000 202.2 797.8
270000 200.445 799.555
272000 199.82 800.18
274000 209.825 790.175
276000 204.9 795.1
278000 206.665 793.335
280000 200.185 799.815
282000 207.385 792.615
284000 201.945 798.055
286000 217.385 782.615
288000 219.085 780.915
290000 218.47 781.53
292000 215.175 784.825
294000 213.67 786.33
296000 212.015 787.985
298000 212.51 787.49
300000 211.875 788.125
