# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
40000 3.18
40100 3.18475
40200 3.18812
40300 3.19931
40400 3.20538
40500 3.19975
40600 3.18838
40700 3.20219
40800 3.18187
40900 3.187
41000 3.17263
41100 3.18406
41200 3.17256
41300 3.1765
41400 3.153
41500 3.17194
41600 3.15762
41700 3.17106
41800 3.15537
41900 3.16231
42000 3.14281
42100 3.15
42200 3.17794
42300 3.16063
42400 3.162
42500 3.18444
42600 3.15856
42700 3.16556
42800 3.13819
42900 3.13544
43000 3.16431
43100 3.14875
43200 3.16506
43300 3.15919
43400 3.13738
43500 3.12787
43600 3.1265
43700 3.15937
43800 3.13106
43900 3.10775
44000 3.142
44100 3.15163
44200 3.14481
44300 3.1365
44400 3.13025
44500 3.13956
44600 3.14644
44700 3.1265
44800 3.11925
44900 3.12825
45000 3.14369
45100 3.12781
45200 3.13262
45300 3.1295
45400 3.12688
45500 3.14444
45600 3.12038
45700 3.11837
45800 3.1165
45900 3.127
46000 3.12012
46100 3.12106
46200 3.12012
46300 3.11431
46400 3.11775
46500 3.12169
46600 3.11744
46700 3.14087
46800 3.10188
46900 3.10781
47000 3.10381
47100 3.09912
47200 3.09987
47300 3.13425
47400 3.09481
47500 3.11738
47600 3.12456
47700 3.09681
47800 3.12462
47900 3.093
48000 3.12156
48100 3.11769
48200 3.10831
48300 3.12231
48400 3.09456
48500 3.10606
48600 3.09169
48700 3.09956
48800 3.13331
48900 3.10838
49000 3.115
49100 3.10281
49200 3.09531
49300 3.10363
49400 3.10025
49500 3.10562
49600 3.11388
49700 3.11431
49800 3.10706
49900 3.10294
50000 3.10363
50100 3.10725
50200 3.11362
50300 3.09175
50400 3.10619
50500 3.10738
50600 3.096
50700 3.09644
50800 3.13563
50900 3.11088
51000 3.10581
51100 3.09625
51200 3.12062
51300 3.09081
51400 3.10756
51500 3.12825
51600 3.08381
51700 3.10275
51800 3.10994
51900 3.103
52000 3.11106
52100 3.08363
52200 3.075
52300 3.07469
52400 3.05587
52500 3.08812
52600 3.05981
52700 3.05956
52800 3.06856
52900 3.08113
53000 3.06569
53100 3.07425
53200 3.08269
53300 3.06469
53400 3.05138
53500 3.04494
53600 3.04219
53700 3.05969
53800 3.04519
53900 3.05031
54000 3.04663
54100 3.04738
54200 3.04569
54300 3.05794
54400 3.05337
54500 3.05619
54600 3.04206
54700 3.05538
54800 3.05756
54900 3.04919
55000 3.03025
55100 3.05219
55200 3.04044
55300 3.02862
55400 3.02344
55500 3.04856
55600 3.02325
55700 3.02212
55800 3.02844
55900 3.02287
56000 3.02644
56100 3.04387
56200 3.05631
56300 3.04363
56400 3.04537
56500 3.0315
56600 3.05306
56700 3.03056
56800 3.04062
56900 3.03475
57000 3.04513
57100 3.01538
57200 3.04644
57300 3.03688
57400 3.03288
57500 3.01519
57600 3.01475
57700 3.03494
57800 3.04162
57900 3.00244
58000 3.03531
58100 3.04637
58200 3.02838
58300 3.03112
58400 3.023
58500 3.01975
58600 2.98694
58700 3.01169
58800 3.0105
58900 3.02519
59000 3.01688
59100 3.01806
59200 2.99656
59300 3.02325
59400 2.99713
59500 3.00431
59600 3.02888
59700 3.01575
59800 3.02394
59900 2.98956
60000 3.00862
60100 3.01669
60200 3.02131
60300 3.00656
60400 3.00588
