# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -3269.24
200 -3140.24
300 -3059.17
400 -3227.96
500 -3222.45
600 -3016.97
700 -2919.9
800 -2954.19
900 -3178.52
1000 -3329.54
1100 -3212
1200 -3229.65
1300 -3099.25
1400 -3095.65
1500 -3194.49
1600 -3379.32
1700 -3305.1
1800 -3360.76
1900 -3322.83
2000 -3168.72
2100 -3159.17
2200 -3189.85
2300 -3131.78
2400 -3127.45
2500 -3060.37
2600 -3153.54
2700 -3167.16
2800 -3113.87
2900 -2968.32
3000 -3020.97
3100 -3109.86
3200 -3243.82
3300 -3291.85
3400 -3253.96
3500 -3190.14
3600 -3134.19
3700 -3118.75
3800 -3187.23
3900 -3181.97
4000 -3250.33
4100 -3255.29
4200 -3266.65
4300 -3166.05
4400 -3014.67
4500 -3197.6
4600 -3259.82
4700 -3246.3
4800 -3274.85
4900 -3110.51
5000 -3059.71
5100 -3088
5200 -3109.68
5300 -3266.82
5400 -3300.24
5500 -3212.94
5600 -3236.75
5700 -3096.7
5800 -3010.43
5900 -3031.24
6000 -3155.35
6100 -3242.26
6200 -3129.7
6300 -3318.38
6400 -3114.37
6500 -3180.11
6600 -3251.25
6700 -3174.27
6800 -3243.38
6900 -3321.56
7000 -3480.82
7100 -3282.97
7200 -3164.49
7300 -3156.46
7400 -3278.33
7500 -3165.37
7600 -3164.21
7700 -3143.49
7800 -3188.35
7900 -3347.97
8000 -3217.29
8100 -3050.63
8200 -3124.16
8300 -3193.12
8400 -3312.18
8500 -3230.2
8600 -2989.34
8700 -3052.87
8800 -3182.94
8900 -3192.52
9000 -3222.15
9100 -3035.24
9200 -3164.97
9300 -3301
9400 -3331.67
9500 -3338.52
9600 -3134.03
9700 -3174.17
9800 -3270.35
9900 -3242.95
10000 -3007.14
