# Time-averaged data for fix myat5
# TimeStep c_sumcoor22
0 7.66538
100 7.33275
200 7.36675
300 7.4915
400 7.638
500 7.81163
600 7.96938
700 8.123
800 8.32312
900 8.50688
1000 8.7005
1100 8.87337
1200 9.04537
1300 9.25025
1400 9.40137
1500 9.53813
1600 9.704
1700 9.83625
1800 9.98537
1900 10.0977
2000 10.2219
2100 10.3371
2200 10.4265
2300 10.5348
2400 10.6285
2500 10.7156
2600 10.8036
2700 10.8483
2800 10.9394
2900 11.0136
3000 11.0672
3100 11.1255
3200 11.1715
3300 11.1903
3400 11.2406
3500 11.2465
3600 11.2933
3700 11.3321
3800 11.3544
3900 11.3994
4000 11.4136
4100 11.4448
4200 11.4601
4300 11.4838
4400 11.5023
4500 11.5606
4600 11.6069
4700 11.6221
4800 11.6303
4900 11.6755
5000 11.6762
5100 11.697
5200 11.7081
5300 11.7286
5400 11.7701
5500 11.7695
5600 11.7963
5700 11.7933
5800 11.79
5900 11.8105
6000 11.8268
6100 11.8257
6200 11.8338
6300 11.8567
6400 11.867
6500 11.882
6600 11.9236
6700 11.8972
6800 11.9187
6900 11.9295
7000 11.9291
7100 11.9473
7200 11.9666
7300 11.979
7400 11.9669
7500 11.9891
7600 12.0098
7700 12.0016
7800 12.0224
7900 11.9946
8000 12.0312
8100 12.0756
8200 12.0329
8300 12.0859
8400 12.077
8500 12.0657
8600 12.0654
8700 12.1007
8800 12.0717
8900 12.1133
9000 12.1013
9100 12.1139
9200 12.1441
9300 12.1578
9400 12.1288
9500 12.1297
9600 12.1475
9700 12.1475
9800 12.1735
9900 12.1384
10000 12.1816
10100 12.1726
10200 12.1758
10300 12.1809
10400 12.1805
10500 12.2073
10600 12.2046
10700 12.1966
10800 12.1935
10900 12.2204
11000 12.2231
11100 12.2469
11200 12.2528
11300 12.2334
11400 12.2631
11500 12.2651
11600 12.2699
11700 12.2469
11800 12.243
11900 12.2803
12000 12.27
12100 12.2669
12200 12.2788
12300 12.2993
12400 12.2874
12500 12.2729
12600 12.2835
12700 12.2891
12800 12.2993
12900 12.3324
13000 12.3289
13100 12.3231
13200 12.3183
13300 12.321
13400 12.3275
13500 12.3479
13600 12.364
13700 12.332
13800 12.3405
13900 12.3351
14000 12.3584
14100 12.3415
14200 12.3506
14300 12.3515
14400 12.3513
14500 12.3606
14600 12.3579
14700 12.3688
14800 12.3605
14900 12.3729
15000 12.3492
15100 12.3885
15200 12.3821
15300 12.3826
15400 12.4042
15500 12.4061
15600 12.3731
15700 12.3742
15800 12.4166
15900 12.3981
16000 12.4315
16100 12.4149
16200 12.4012
16300 12.4268
16400 12.3876
16500 12.4029
16600 12.4155
16700 12.4123
16800 12.4206
16900 12.4184
17000 12.435
17100 12.4381
17200 12.4383
17300 12.4235
17400 12.4224
17500 12.4753
17600 12.4611
17700 12.4827
17800 12.4537
17900 12.4304
18000 12.452
18100 12.487
18200 12.5014
18300 12.4878
18400 12.482
18500 12.4682
18600 12.4429
18700 12.481
18800 12.4885
18900 12.47
19000 12.5053
19100 12.4626
19200 12.4968
19300 12.5029
19400 12.4874
19500 12.5191
19600 12.4821
19700 12.5199
19800 12.5171
19900 12.4924
20000 12.5267
20100 12.5085
20200 12.5124
20300 12.5092
20400 12.5405
20500 12.522
20600 12.5509
20700 12.5635
20800 12.524
20900 12.5511
21000 12.534
21100 12.5597
21200 12.5491
21300 12.5359
21400 12.5519
21500 12.5515
21600 12.5872
21700 12.5374
21800 12.57
21900 12.5651
22000 12.5451
