# Time-averaged data for fix at1
# TimeStep v_pos
1000 55.6052
2000 55.6052
3000 55.6052
4000 55.6052
5000 55.6052
6000 55.6431
7000 55.7181
8000 55.7931
9000 55.8681
10000 55.9431
11000 56.0181
12000 56.0931
13000 56.1681
14000 56.2431
15000 56.3181
16000 56.3931
17000 56.4681
18000 56.5431
19000 56.6181
20000 56.6931
21000 56.7681
22000 56.8431
23000 56.9181
24000 56.9931
25000 57.0681
26000 57.1431
27000 57.2181
28000 57.2931
29000 57.3681
30000 57.4431
31000 57.5181
32000 57.5931
33000 57.6681
34000 57.7431
35000 57.8181
36000 57.8931
37000 57.9681
38000 58.0431
39000 58.1181
40000 58.1931
41000 58.2681
42000 58.3431
43000 58.4181
44000 58.4931
45000 58.5681
46000 58.6431
47000 58.7181
48000 58.7931
49000 58.8681
50000 58.9431
51000 59.0181
52000 59.0931
53000 59.1681
54000 59.2431
55000 59.3181
56000 59.3931
57000 59.4681
58000 59.5431
59000 59.6181
60000 59.6931
61000 59.7681
62000 59.8431
63000 59.9181
64000 59.9931
65000 60.0681
66000 60.1431
67000 60.2181
68000 60.2931
69000 60.3681
70000 60.4431
71000 60.5181
72000 60.5931
73000 60.6681
74000 60.7431
75000 60.8181
76000 60.8931
77000 60.9681
78000 61.0431
79000 61.1181
80000 61.1931
81000 61.2681
82000 61.3431
83000 61.4181
84000 61.4931
85000 61.5681
86000 61.6431
87000 61.7181
88000 61.7931
89000 61.8681
90000 61.9431
91000 62.0181
92000 62.0931
93000 62.1681
94000 62.2431
95000 62.3181
96000 62.3931
97000 62.4681
98000 62.5431
99000 62.6181
100000 62.6931
101000 62.7681
102000 62.8431
103000 62.9181
104000 62.9931
105000 63.0681
106000 63.1431
107000 63.2181
108000 63.2931
109000 63.3681
110000 63.4431
111000 63.5181
112000 63.5931
113000 63.6681
114000 63.7431
115000 63.8181
116000 63.8931
117000 63.9681
118000 64.0431
119000 64.1181
120000 64.1931
121000 64.2681
122000 64.3431
123000 64.4181
124000 64.4931
125000 64.5681
126000 64.6431
127000 64.7181
128000 64.7931
129000 64.8681
130000 64.9431
131000 65.0181
132000 65.0931
133000 65.1681
134000 65.2431
135000 65.3181
136000 65.3931
137000 65.4681
138000 65.5431
139000 65.6181
140000 65.6931
141000 65.7681
142000 65.8431
143000 65.9181
144000 65.9931
145000 66.0681
146000 66.1431
147000 66.2181
148000 66.2931
149000 66.3681
150000 66.4431
151000 66.5181
152000 66.5931
153000 66.6681
154000 66.7431
155000 66.8181
156000 66.8931
157000 66.9681
158000 67.0431
159000 67.1181
160000 67.1931
161000 67.2681
162000 67.3431
163000 67.4181
164000 67.4931
165000 67.5681
166000 67.6431
167000 67.7181
168000 67.7931
169000 67.8681
170000 67.9431
171000 68.0181
172000 68.0931
173000 68.1681
174000 68.2431
175000 68.3181
176000 68.3931
177000 68.4681
178000 68.5431
179000 68.6181
180000 68.6931
181000 68.7681
182000 68.8431
183000 68.9181
184000 68.9931
185000 69.0681
186000 69.1431
187000 69.2181
188000 69.2931
189000 69.3681
190000 69.4431
191000 69.5181
192000 69.5931
193000 69.6681
194000 69.7431
195000 69.8181
196000 69.8931
197000 69.9681
198000 70.0431
199000 70.1181
200000 70.1931
201000 70.2681
202000 70.3431
203000 70.4181
204000 70.4931
205000 70.5681
206000 70.6431
207000 70.7181
208000 70.7931
209000 70.8681
210000 70.9431
211000 71.0181
212000 71.0931
213000 71.1681
214000 71.2431
215000 71.3181
216000 71.3931
217000 71.4681
218000 71.5431
219000 71.6181
220000 71.6931
221000 71.7681
222000 71.8431
223000 71.9181
224000 71.9931
225000 72.0681
226000 72.1431
227000 72.2181
228000 72.2931
229000 72.3681
230000 72.4431
231000 72.5181
232000 72.5931
233000 72.6681
234000 72.7431
235000 72.8181
236000 72.8931
237000 72.9681
238000 73.0431
239000 73.1181
240000 73.1931
241000 73.2681
242000 73.3431
243000 73.4181
244000 73.4931
245000 73.5681
246000 73.6431
247000 73.7181
248000 73.7931
249000 73.8681
250000 73.9431
251000 74.0181
252000 74.0931
253000 74.1681
254000 74.2431
255000 74.3181
256000 74.3931
257000 74.4681
258000 74.5431
259000 74.6181
260000 74.6931
261000 74.7681
262000 74.8431
263000 74.9181
264000 74.9931
265000 75.0681
266000 75.1431
267000 75.2181
268000 75.2931
269000 75.3681
270000 75.4431
271000 75.5181
272000 75.5931
273000 75.6681
274000 75.7431
275000 75.8181
276000 75.8931
277000 75.9681
278000 76.0431
279000 76.1181
280000 76.1931
281000 76.2681
282000 76.3431
283000 76.4181
284000 76.4931
285000 76.5681
