# Time-averaged data for fix myat1
# TimeStep v_Ntype1in v_Ntype1ou
0 0 3500
1000 0 3500
2000 0 3500
3000 1 3499
4000 3 3497
5000 1 3499
6000 2 3498
7000 2 3498
8000 2 3498
9000 3 3497
10000 4 3496
11000 5 3495
12000 3 3497
13000 5 3495
14000 6 3494
15000 7 3493
16000 9 3491
17000 12 3488
18000 13 3487
19000 15 3485
20000 11 3489
21000 12 3488
22000 10 3490
23000 9 3491
24000 12 3488
25000 14 3486
26000 15 3485
27000 14 3486
28000 16 3484
29000 17 3483
30000 18 3482
31000 15 3485
32000 16 3484
33000 16 3484
34000 15 3485
35000 15 3485
36000 14 3486
37000 16 3484
38000 15 3485
39000 16 3484
40000 20 3480
41000 22 3478
42000 22 3478
43000 20 3480
44000 22 3478
45000 24 3476
46000 22 3478
47000 23 3477
48000 22 3478
49000 20 3480
50000 22 3478
51000 22 3478
52000 27 3473
53000 26 3474
54000 22 3478
55000 24 3476
56000 23 3477
57000 27 3473
58000 29 3471
59000 29 3471
60000 30 3470
61000 27 3473
62000 27 3473
63000 26 3474
64000 27 3473
65000 24 3476
66000 29 3471
67000 29 3471
68000 29 3471
69000 26 3474
70000 29 3471
71000 26 3474
72000 25 3475
73000 24 3476
74000 26 3474
75000 29 3471
76000 30 3470
77000 32 3468
78000 32 3468
79000 32 3468
80000 36 3464
81000 33 3467
82000 30 3470
83000 30 3470
84000 34 3466
85000 32 3468
86000 33 3467
87000 29 3471
88000 31 3469
89000 30 3470
90000 34 3466
91000 34 3466
92000 30 3470
93000 30 3470
94000 31 3469
95000 30 3470
96000 28 3472
97000 30 3470
98000 32 3468
99000 33 3467
100000 30 3470
101000 30 3470
102000 30 3470
103000 28 3472
104000 31 3469
105000 34 3466
106000 36 3464
107000 33 3467
108000 29 3471
109000 28 3472
110000 28 3472
111000 26 3474
112000 25 3475
113000 27 3473
114000 27 3473
115000 27 3473
116000 29 3471
117000 29 3471
118000 29 3471
119000 26 3474
120000 28 3472
121000 31 3469
122000 29 3471
123000 30 3470
124000 25 3475
125000 28 3472
126000 29 3471
127000 29 3471
128000 31 3469
129000 28 3472
130000 28 3472
131000 30 3470
132000 30 3470
133000 33 3467
134000 33 3467
135000 34 3466
136000 33 3467
137000 32 3468
138000 33 3467
139000 32 3468
140000 37 3463
141000 35 3465
142000 35 3465
143000 36 3464
144000 37 3463
145000 37 3463
146000 38 3462
147000 37 3463
148000 38 3462
149000 42 3458
150000 44 3456
151000 44 3456
152000 46 3454
153000 46 3454
154000 47 3453
155000 50 3450
156000 50 3450
157000 45 3455
158000 49 3451
159000 51 3449
160000 52 3448
161000 49 3451
162000 48 3452
163000 51 3449
164000 52 3448
165000 50 3450
166000 52 3448
167000 47 3453
168000 50 3450
169000 48 3452
170000 48 3452
171000 44 3456
172000 51 3449
173000 48 3452
174000 51 3449
175000 48 3452
176000 50 3450
177000 44 3456
178000 46 3454
179000 47 3453
180000 43 3457
181000 43 3457
182000 44 3456
183000 41 3459
