#  Timestep    No_Moles    No_Specs   Si192O384           H
          5           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         10           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         15           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         20           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         25           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         30           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         35           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         40           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         45           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         50           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         55           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         60           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         65           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         70           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         75           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         80           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         85           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         90           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
         95           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        100           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        105           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        110           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        115           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        120           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        125           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        130           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        135           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        140           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        145           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        150           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        155           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        160           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        165           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        170           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        175           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        180           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        185           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        190           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        195           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        200           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        205           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        210           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        215           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        220           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        225           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        230           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        235           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        240           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        245           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        250           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        255           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        260           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        265           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        270           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        275           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        280           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        285           2           2           1           1
#  Timestep    No_Moles    No_Specs   Si192O384           H
        290           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        295           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        300           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        305           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        310           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        315           3           2           1           2
#  Timestep    No_Moles    No_Specs   Si192O384           H
        320           3           2           1           2
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        325           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        330           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        335           2           2           1           1
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        340           2           2           1           1
