# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.00879483
200 0.00825428
300 0.00793875
400 0.00775096
500 0.00762274
600 0.00751916
700 0.00745747
800 0.00741195
900 0.00735516
1000 0.00730762
1100 0.00729364
1200 0.00728787
1300 0.00727389
1400 0.00725298
1500 0.00725485
1600 0.0072699
1700 0.00726837
1800 0.00729769
1900 0.00733737
2000 0.0073814
2100 0.00742761
2200 0.00749553
2300 0.00757566
2400 0.00762753
2500 0.00766709
2600 0.00769537
2700 0.00772887
2800 0.0077711
2900 0.0078124
3000 0.00785846
3100 0.00787567
3200 0.00788346
3300 0.00787814
3400 0.00788459
3500 0.00790633
3600 0.00789094
3700 0.00787661
3800 0.0079157
3900 0.0079607
4000 0.00799308
4100 0.0080361
4200 0.00811194
4300 0.00820901
4400 0.00831807
4500 0.00841208
4600 0.00847661
4700 0.00853785
4800 0.00863629
4900 0.00874632
5000 0.00884237
5100 0.00889801
5200 0.0089321
5300 0.00898878
5400 0.00906234
5500 0.00913394
5600 0.00919428
5700 0.00923367
5800 0.00926928
5900 0.00931577
6000 0.00935364
6100 0.0093693
6200 0.00941783
6300 0.00949822
6400 0.00959338
6500 0.00967103
6600 0.00976425
6700 0.00988241
6800 0.00998122
6900 0.0100621
7000 0.010114
7100 0.0101925
7200 0.0103003
7300 0.0104294
7400 0.0105397
7500 0.0106224
7600 0.0107333
7700 0.0108715
7800 0.0109658
7900 0.0110091
8000 0.0111062
8100 0.0112269
8200 0.0112751
8300 0.0113086
8400 0.0113956
8500 0.0115088
8600 0.0116022
8700 0.0116821
8800 0.0117828
8900 0.0118894
9000 0.0119979
9100 0.0121442
9200 0.0122673
9300 0.0123921
9400 0.0125567
9500 0.0127189
9600 0.012859
9700 0.0129487
9800 0.013
9900 0.0130649
10000 0.0131429
10100 0.0132707
10200 0.0134156
10300 0.0135461
10400 0.0136953
10500 0.0138739
10600 0.0140394
10700 0.0142399
10800 0.0144156
10900 0.0146053
11000 0.0147955
11100 0.0149246
11200 0.0150035
11300 0.0151387
11400 0.0153681
11500 0.0156041
11600 0.0158
11700 0.0160064
11800 0.0162118
11900 0.0163611
12000 0.0165159
12100 0.0166444
12200 0.0167816
12300 0.0169736
12400 0.0171647
12500 0.017306
12600 0.0174064
12700 0.0175474
12800 0.0176956
12900 0.0178899
13000 0.01808
13100 0.0182355
13200 0.0184051
13300 0.0186475
13400 0.0189139
13500 0.0191884
13600 0.0195145
13700 0.0197574
13800 0.0199064
13900 0.0200284
14000 0.0201516
14100 0.0201776
14200 0.0202074
14300 0.0201724
14400 0.0200883
14500 0.0201041
14600 0.0201942
14700 0.0202663
14800 0.0203077
14900 0.0202846
15000 0.020312
15100 0.0203839
15200 0.0205003
15300 0.0206569
15400 0.0208926
15500 0.0211122
15600 0.0213335
15700 0.0216157
15800 0.0218335
15900 0.0218961
16000 0.0218418
16100 0.021785
16200 0.0217459
16300 0.0216383
16400 0.0214089
16500 0.0210931
16600 0.0208826
16700 0.020828
16800 0.0208773
16900 0.0209211
17000 0.0208189
17100 0.0206964
17200 0.0206287
17300 0.0205915
17400 0.0205353
17500 0.0204918
17600 0.0205032
17700 0.0206504
17800 0.020872
17900 0.0211087
18000 0.02122
18100 0.0212885
18200 0.0214144
18300 0.0215372
18400 0.0215507
18500 0.0214361
18600 0.0212272
18700 0.0210307
18800 0.0209885
18900 0.0210817
19000 0.021168
19100 0.0212065
19200 0.0212291
19300 0.021291
19400 0.0213659
19500 0.0213635
19600 0.021355
19700 0.0214698
19800 0.02167
19900 0.0219352
20000 0.0221245
20100 0.0222275
20200 0.0223143
20300 0.0223486
20400 0.0223344
20500 0.022306
20600 0.0222173
20700 0.0221057
20800 0.0219635
20900 0.021839
21000 0.0218713
21100 0.0220375
21200 0.0222376
21300 0.022386
21400 0.0224333
21500 0.0224307
21600 0.0224432
21700 0.0224754
21800 0.0225985
21900 0.0227182
22000 0.022775
22100 0.0228454
22200 0.0229739
22300 0.0230545
22400 0.0230618
22500 0.0231026
22600 0.0232029
22700 0.0233379
22800 0.0234995
22900 0.0235723
23000 0.0235895
23100 0.0235282
23200 0.023421
23300 0.0232627
23400 0.0230226
23500 0.0227948
23600 0.0226327
23700 0.0224687
23800 0.0223259
23900 0.0222491
24000 0.022254
24100 0.0222948
24200 0.0223441
24300 0.0223764
24400 0.0223823
24500 0.0224907
24600 0.0226054
24700 0.0226428
24800 0.0226175
24900 0.0226013
25000 0.0226067
25100 0.0226347
25200 0.0227419
25300 0.0228973
25400 0.0230528
25500 0.0231799
25600 0.0233446
25700 0.0234603
25800 0.0235477
25900 0.0237382
26000 0.0238158
26100 0.0237082
26200 0.0236017
26300 0.0234503
26400 0.0233497
26500 0.0233524
26600 0.0234335
26700 0.023621
26800 0.0239237
26900 0.0242217
27000 0.0244213
27100 0.0245736
27200 0.0245987
27300 0.0244242
27400 0.0241557
27500 0.0239194
27600 0.023741
27700 0.0235865
27800 0.0235218
27900 0.0234738
28000 0.0234287
28100 0.0234208
28200 0.0233884
28300 0.0233747
28400 0.0234219
28500 0.0234901
28600 0.0236324
28700 0.0238593
28800 0.0240543
28900 0.024209
29000 0.024298
29100 0.0244224
29200 0.0246164
29300 0.0246812
29400 0.0246072
29500 0.0243941
29600 0.0239849
29700 0.0235868
29800 0.0232448
29900 0.0229015
30000 0.0226503
30100 0.0225634
30200 0.0225784
30300 0.0225577
30400 0.0225347
30500 0.0225791
30600 0.0226709
30700 0.0227682
30800 0.0229083
30900 0.0230628
31000 0.0231993
31100 0.0233781
31200 0.0235291
31300 0.0236522
31400 0.0237141
31500 0.0236672
31600 0.0236071
31700 0.0236786
31800 0.0238298
31900 0.0239685
32000 0.0240349
32100 0.0240467
32200 0.0239955
32300 0.023999
32400 0.0239834
32500 0.023921
32600 0.0238165
32700 0.0237385
32800 0.023813
32900 0.0240186
33000 0.0241559
33100 0.0241342
33200 0.02397
33300 0.0238282
33400 0.0238088
33500 0.0239733
33600 0.0242846
33700 0.0246291
33800 0.0249768
33900 0.0251933
34000 0.0251921
34100 0.0250429
34200 0.0247978
34300 0.0244936
34400 0.0241602
34500 0.0238746
34600 0.0236401
34700 0.0235419
34800 0.0235394
34900 0.0235215
35000 0.0234979
35100 0.0234807
35200 0.0234798
35300 0.0233779
35400 0.0232771
35500 0.0232524
35600 0.0231882
35700 0.0231786
35800 0.0232697
35900 0.0234895
36000 0.0237569
36100 0.0239414
36200 0.0240249
36300 0.0239936
36400 0.0239361
36500 0.0238728
36600 0.0238823
36700 0.0239618
36800 0.0240479
36900 0.0241725
37000 0.0242308
37100 0.0242661
37200 0.0242723
37300 0.0241664
37400 0.0239055
37500 0.0234796
37600 0.0230851
37700 0.0227994
37800 0.0225889
37900 0.0224901
38000 0.0224042
38100 0.0223573
38200 0.0223319
38300 0.0223415
38400 0.0224404
38500 0.0226363
38600 0.0229831
38700 0.0233357
38800 0.023667
38900 0.0239639
39000 0.0242308
39100 0.0244596
39200 0.0245895
39300 0.0246846
39400 0.0248412
39500 0.0249171
39600 0.0249718
39700 0.0250351
39800 0.0249978
39900 0.024803
40000 0.0244376
40100 0.0241947
40200 0.024176
40300 0.0242253
40400 0.0243001
40500 0.0243624
40600 0.024575
40700 0.0249451
40800 0.0252274
40900 0.0253323
41000 0.0252767
41100 0.0251888
41200 0.025111
41300 0.0249778
41400 0.0249155
41500 0.0249593
41600 0.0250019
41700 0.0250577
41800 0.0250448
41900 0.0249235
42000 0.0247704
42100 0.0247343
42200 0.0248134
42300 0.0248975
42400 0.0249882
42500 0.0250658
42600 0.0250892
42700 0.0251421
42800 0.0252639
42900 0.0253978
43000 0.0254832
43100 0.0255292
43200 0.0253362
43300 0.0250342
43400 0.024738
43500 0.0244718
43600 0.0242563
43700 0.0240518
43800 0.0239209
43900 0.023834
44000 0.0238995
44100 0.0240627
44200 0.0242534
44300 0.0244827
44400 0.0247042
44500 0.0248892
44600 0.0249127
44700 0.0248117
44800 0.024724
44900 0.0246702
45000 0.0246683
45100 0.0247568
45200 0.024811
45300 0.0247075
45400 0.0244751
45500 0.0242241
45600 0.0241101
45700 0.0241499
45800 0.0243051
45900 0.0245743
46000 0.0248347
46100 0.0251736
46200 0.0255208
46300 0.0256878
46400 0.0256229
46500 0.0253871
46600 0.0251952
46700 0.0250718
46800 0.024945
46900 0.0248001
47000 0.0246301
47100 0.0244889
47200 0.0243624
47300 0.0243416
47400 0.0244278
47500 0.0244678
47600 0.0244288
47700 0.0244855
47800 0.0246083
47900 0.0247174
48000 0.0247749
48100 0.0247805
48200 0.0247856
48300 0.0247928
48400 0.0247902
48500 0.0247692
48600 0.0248144
48700 0.0247767
48800 0.0245703
48900 0.024353
49000 0.0241927
49100 0.0241058
49200 0.0240916
49300 0.0241745
49400 0.0243627
49500 0.0244507
49600 0.0243868
49700 0.0243139
49800 0.0242575
49900 0.0241868
50000 0.024259
